OWNERCITYCODE,OWNERTOWNCODE,RECEIVEYYYY,GENDER,BDATE,EDUCATION,RELATION,OTHERNOTFAMILYMEMBER
6500000000,6501000000,2020,M,107,I,9,
6500000000,6501000000,2020,F,104,Z,9,
1000700000,1000710000,2020,F,093,D,F,
1001700000,1001706000,2020,M,095,D,G,
1001900000,,2020,M,108,I,O,
6500000000,,2020,F,103,I,F,
1002100000,,2020,F,103,I,9,
1000900000,1000903000,2020,F,103,I,G,
1000700000,1000712000,2020,M,091,Z,9,
6400000000,6401100000,2020,F,102,C,G,
1001900000,,2020,M,103,I,S,
1001900000,,2020,M,092,E,P,
1001400000,1001409000,2020,M,096,D,F,
6500000000,,2020,M,106,I,F,
1001900000,,2020,M,106,I,G,
6400000000,6401200000,2020,F,106,I,K,
6300000000,6300700000,2020,F,092,E,Z,
6300000000,6301200000,2020,M,107,I,F,
6400000000,6401200000,2020,M,101,C,G,
6400000000,6401200000,2020,M,102,C,H,
6400000000,6401200000,2020,M,101,C,G,
6500000000,6500900000,2020,F,108,I,9,
6400000000,6400300000,2020,F,094,D,G,
6400000000,6400200000,2020,F,094,D,F,
6500000000,6501100000,2020,F,104,I,X,
6500000000,6501300000,2020,F,094,D,G,
1000200000,1000201000,2020,M,100,C,F,
1000800000,1000811000,2020,M,105,I,Q,
1000500000,1000501000,2020,M,098,C,F,
1001900000,,2020,M,095,D,G,
1000800000,1000806000,2020,M,093,E,H,
1000800000,1000803000,2020,M,106,I,F,
6500000000,6501000000,2020,M,097,C,F,
6400000000,,2020,M,093,E,F,
6300000000,6300400000,2020,F,091,E,R,
1001900000,,2020,M,092,E,F,
1000800000,1000801000,2020,F,099,C,F,
6300000000,6301000000,2020,M,106,I,9,
1001500000,1001511000,2020,F,094,D,Z,
6400000000,6400500000,2020,F,099,C,G,
6400000000,6400300000,2020,F,102,C,G,
1000700000,1000712000,2020,M,107,I,F,
1002100000,,2020,F,106,I,G,
1002100000,,2020,F,097,C,G,
1002100000,,2020,F,101,C,G,
6400000000,6401300000,2020,F,098,C,G,
1001600000,1001601000,2020,M,100,C,F,
1001300000,1001306000,2020,F,095,D,G,
1002100000,,2020,F,092,E,G,
6400000000,6401400000,2020,M,093,Z,9,
1001900000,,2020,M,106,I,B,
6500000000,6501500000,2020,M,093,D,F,
6500000000,6500100000,2020,M,091,F,F,
1000500000,1000504000,2020,M,104,I,P,
1002100000,,2020,M,103,I,F,
1001500000,1001505000,2020,M,092,E,K,
1001900000,,2020,M,108,I,F,
1001900000,,2020,M,102,I,K,
1001300000,1001309000,2020,M,104,I,Z,
1001900000,,2020,M,099,C,K,
1001900000,,2020,F,099,C,F,
1001900000,,2020,M,107,I,Z,
6400000000,6403100000,2020,M,094,D,H,
1000700000,1000712000,2020,F,106,I,F,
6400000000,6401000000,2020,M,094,D,F,
1001900000,,2020,F,097,D,J,
6400000000,6402500000,2020,M,096,C,F,
1001900000,,2020,F,093,E,J,
1001900000,,2020,M,091,E,F,
1001900000,,2020,M,091,E,Z,
1000800000,1000804000,2020,F,102,Z,F,
1000500000,1000505000,2020,M,092,E,9,
1000700000,1000715000,2020,M,097,C,G,
6300000000,6300700000,2020,M,095,D,F,
6500000000,6500700000,2020,F,093,D,C,
6300000000,6300700000,2020,M,099,C,F,
6500000000,6501000000,2020,M,108,I,G,
6300000000,6301200000,2020,F,097,C,G,
6400000000,6402100000,2020,M,102,I,Q,
6500000000,6500300000,2020,F,098,C,G,
6500000000,6502300000,2020,M,099,C,K,
6300000000,6300800000,2020,F,100,C,F,
6300000000,6301200000,2020,M,105,I,G,
1000800000,1000812000,2020,F,099,C,F,
1001400000,1001401000,2020,M,099,C,G,
6300000000,6301200000,2020,F,100,C,Z,
1001900000,,2020,M,094,Z,9,
1001900000,,2020,F,107,I,G,
6400000000,6401700000,2020,F,100,C,G,
1001900000,,2020,M,104,I,G,
6400000000,6402900000,2020,F,096,D,F,
1001300000,1001305000,2020,M,094,D,F,
1000800000,1000801000,2020,M,097,C,Y,
6400000000,6401200000,2020,F,097,C,G,
6400000000,6400200000,2020,F,101,C,I,
6400000000,6401200000,2020,M,093,Z,Z,
6500000000,6500400000,2020,M,104,I,F,
6400000000,6400800000,2020,F,096,Z,Q,
6400000000,6400500000,2020,M,096,C,F,
6400000000,6400400000,2020,M,104,I,F,
1000700000,1000706000,2020,M,105,I,G,
6400000000,6400400000,2020,M,106,I,G,
1000700000,1000703000,2020,F,095,D,F,
1001900000,,2020,M,107,I,9,
1001900000,,2020,F,094,D,G,
6400000000,6400500000,2020,F,091,Z,Z,
6300000000,6301200000,2020,F,105,I,F,
6300000000,6300400000,2020,F,101,C,F,
6300000000,6301000000,2020,M,095,D,F,
1000300000,1000307000,2020,M,109,Z,E,
1000300000,1000309000,2020,F,095,D,G,
1000300000,1000301000,2020,M,096,D,F,
1000300000,1000307000,2020,F,095,D,F,
1000300000,1000302000,2020,M,102,C,G,
1000300000,1000301000,2020,M,103,I,G,
1000300000,1000303000,2020,F,091,E,9,
1000300000,1000311000,2020,M,098,C,F,
1000300000,1000308000,2020,F,101,C,F,
1000300000,1000305000,2020,F,091,E,G,
1000300000,1000309000,2020,M,098,C,F,
6400000000,6403200000,2020,M,096,C,Q,
6400000000,6403200000,2020,M,099,C,Q,
6400000000,6403200000,2020,M,101,C,Q,
6400000000,6403200000,2020,M,100,C,Q,
1001900000,,2020,M,100,C,F,
6300000000,6300600000,2020,M,101,C,G,
1000300000,1000310000,2020,M,097,C,G,
1000300000,1000312000,2020,M,106,I,G,
1000300000,1000302000,2020,F,098,C,S,
1000300000,1000302000,2020,M,097,C,S,
1000300000,1000302000,2020,M,098,C,S,
1000300000,1000302000,2020,M,098,C,S,
1000300000,1000310000,2020,F,101,C,G,
1000300000,1000309000,2020,F,096,D,F,
1000300000,1000304000,2020,F,107,I,F,
1000300000,1000305000,2020,M,094,D,F,
6400000000,6401900000,2020,F,105,I,G,
1001800000,1001802000,2020,F,096,Z,F,
1000400000,1000410000,2020,M,099,C,F,
6400000000,6401200000,2020,M,096,C,F,
1001300000,1001312000,2020,F,091,E,C,
6400000000,6400200000,2020,F,104,I,G,
1001900000,,2020,M,094,D,Y,
1001900000,,2020,M,106,I,G,
6400000000,6400800000,2020,F,093,D,F,
1000700000,1000702000,2020,F,103,I,F,
1001900000,,2020,F,109,I,G,
1000800000,1000808000,2020,F,108,Z,G,
1001900000,,2020,M,093,D,G,
1001900000,,2020,M,103,I,F,
1002100000,,2020,F,098,C,F,
1001900000,,2020,F,106,I,F,
1001900000,,2020,M,102,I,H,
6400000000,6400400000,2020,F,106,I,F,
1001900000,,2020,F,100,C,H,
6400000000,6401200000,2020,M,091,Z,Z,
1001900000,,2020,F,096,D,G,
6400000000,6400300000,2020,M,092,E,F,
