OWNERCITYCODE,OWNERTOWNCODE,RECEIVEYYYY,GENDER,BDATE,EDUCATION,RELATION,OTHERNOTFAMILYMEMBER
6300000000,6301000000,2022,F,102,C,F,
6300000000,6300400000,2022,F,097,D,G,
6300000000,6300400000,2022,M,094,E,F,
1000300000,1000304000,2022,F,098,Z,S,
1000300000,1000306000,2022,F,094,Z,Q,
1000300000,1000308000,2022,M,104,Z,Q,
1000300000,1000308000,2022,M,097,D,F,
1000300000,1000309000,2022,M,101,C,Z,
1000300000,1000308000,2022,M,103,Z,Q,
1000300000,1000304000,2022,M,098,Z,Q,
1000300000,1000301000,2022,M,096,Z,Q,
1000300000,1000306000,2022,F,104,Z,Q,
1000300000,1000306000,2022,F,103,Z,Q,
1000300000,1000306000,2022,F,103,Z,Q,
1000300000,1000306000,2022,F,104,Z,Q,
1000300000,1000303000,2022,F,096,Z,Q,
6400000000,6401200000,2022,F,103,Z,Q,
1001800000,1001801000,2022,M,100,C,G,
1001900000,,2022,M,097,D,Z,
1001900000,,2022,M,110,I,G,
6400000000,6401800000,2022,M,098,Z,Q,
1001300000,1001317000,2022,M,106,I,F,
1001300000,1001306000,2022,M,110,I,H,
1000300000,1000302000,2022,F,101,Z,Q,
6300000000,6301000000,2022,M,104,I,G,
6500000000,6500500000,2022,F,101,C,F,
6500000000,6500500000,2022,M,095,D,F,
6300000000,6300500000,2022,F,096,Z,9,
1000300000,1000310000,2022,M,102,C,F,
6400000000,6402000000,2022,M,100,C,F,
1002000000,,2022,M,093,Z,Q,
6300000000,6300400000,2022,M,101,Z,S,
1002100000,,2022,M,102,Z,Q,
1002100000,,2022,M,100,Z,Q,
6400000000,6400600000,2022,F,100,Z,Q,
1000800000,1000802000,2022,M,094,E,R,
1000800000,1000802000,2022,M,095,E,R,
1000800000,1000802000,2022,M,095,D,Y,
6300000000,6300800000,2022,F,097,D,H,
6500000000,6500600000,2022,M,096,D,F,
6400000000,6402700000,2022,M,103,C,G,
6500000000,6501600000,2022,M,094,Z,F,
1000700000,1000710000,2022,M,098,C,F,
6400000000,6401200000,2022,M,096,D,F,
6400000000,6401900000,2022,F,096,Z,Q,
1000700000,1000708000,2022,M,101,C,F,
1000800000,1000813000,2022,M,100,C,G,
6500000000,6500700000,2022,F,102,C,G,
1002100000,,2022,M,094,Z,Q,
1001900000,,2022,M,096,D,F,
1002100000,,2022,F,098,Z,Q,
6500000000,6500800000,2022,X,093,Z,Q,
6500000000,6500100000,2022,M,103,Z,Q,
1000300000,1000302000,2022,F,095,D,F,
6400000000,6401900000,2022,M,096,Z,Q,
1002100000,,2022,F,099,Z,Q,
6300000000,6300300000,2022,M,096,D,F,
6400000000,6400500000,2022,F,103,Z,Q,
6300000000,6300300000,2022,F,097,D,G,
6500000000,6501700000,2022,F,101,C,T,
6500000000,6501700000,2022,F,102,Z,U,
6500000000,6501700000,2022,F,100,C,U,
6500000000,6501700000,2022,F,101,Z,U,
6500000000,6501700000,2022,F,102,C,U,
6500000000,6501700000,2022,F,103,C,T,
6500000000,6501700000,2022,F,100,C,u,
6500000000,6501700000,2022,F,099,Z,T,
6500000000,6501700000,2022,F,099,Z,T,
6500000000,6501700000,2022,F,096,D,T,
6500000000,6500600000,2022,F,098,Z,Q,
1001900000,,2022,M,093,E,9,
6300000000,6300300000,2022,F,093,Z,Z,
1002100000,,2022,M,102,C,G,
1001400000,1001406000,2022,F,097,Z,E,
1000800000,1000802000,2022,M,093,E,Y,
1000700000,1000712000,2022,M,098,Z,Q,
6400000000,6401900000,2022,F,096,Z,Q,
1001700000,1001703000,2022,F,098,Z,S,
1001400000,1001401000,2022,F,102,C,F,
6400000000,6401200000,2022,F,097,D,F,
1001800000,1001801000,2022,M,104,C,G,
1000300000,1000301000,2022,F,093,E,X,
6500000000,6501400000,2022,M,099,C,F,
1001800000,1001803000,2022,M,107,Z,9,
1000700000,1000701000,2022,M,095,Z,Q,
1000700000,1000701000,2022,F,097,Z,Q,
1000300000,1000304000,2022,M,102,C,G,
1001400000,1001412000,2022,F,097,Z,E,
6300000000,6300700000,2022,M,107,I,G,
6300000000,6300700000,2022,M,109,I,G,
1000700000,1000701000,2022,M,102,C,Z,
1000300000,1000304000,2022,M,104,C,F,
6400000000,6401100000,2022,M,098,C,H,
1001900000,,2022,M,095,E,Q,
1001300000,1001302000,2022,F,099,Z,Q,
1001300000,1001301000,2022,F,104,Z,Q,
1000200000,1000203000,2022,M,095,Z,G,
6400000000,6400500000,2022,M,102,C,H,
1002100000,,2022,F,100,Z,Q,
1002100000,,2022,M,099,C,G,
1002100000,,2022,F,096,Z,Q,
6400000000,6400800000,2022,M,096,D,F,
1000900000,1000913000,2022,F,105,I,2,
6500000000,6502100000,2022,F,093,E,9,
1000800000,1000804000,2022,F,101,Z,Q,
1000700000,1000723000,2022,F,103,C,Z,
1001500000,1001511000,2022,M,102,C,Y,
1001500000,1001511000,2022,M,100,C,Z,
6400000000,6401200000,2022,F,096,Z,X,
6500000000,6500600000,2022,F,094,E,S,
1000300000,1000310000,2022,M,109,I,h,
6400000000,6401200000,2022,M,103,C,F,
1002100000,,2022,F,094,Z,Q,
1002100000,,2022,F,102,C,K,
1002100000,,2022,M,093,E,F,
1000800000,1000802000,2022,F,100,Z,Q,
1000700000,1000710000,2022,F,096,Z,Q,
6400000000,6400900000,2022,F,104,Z,Q,
1001600000,1001601000,2022,F,105,I,F,
1001500000,1001511000,2022,F,102,C,Y,
1001500000,1001511000,2022,M,099,C,Y,
6300000000,6301200000,2022,F,100,Z,Q,
6400000000,6400500000,2022,F,103,C,F,
6400000000,6400800000,2022,F,104,Z,Q,
1000300000,1000310000,2022,F,100,Z,Q,
1000300000,1000310000,2022,F,101,Z,Q,
1000800000,1000805000,2022,F,095,D,9,
1001800000,1001802000,2022,M,106,I,G,
6300000000,6300800000,2022,M,102,C,Y,
6500000000,6501000000,2022,M,096,D,G,
1001900000,,2022,F,105,I,Z,
1002100000,,2022,F,102,Z,Q,
1002100000,,2022,M,102,Z,Q,
1002100000,,2022,F,094,Z,Q,
6500000000,6500500000,2022,M,094,E,E,
6300000000,6300300000,2022,F,098,Z,Q,
6500000000,,2022,M,096,D,F,
6500000000,,2022,F,097,D,F,
6500000000,,2022,M,107,I,F,
0900700000,0900701000,2022,F,099,Z,X,
1002000000,1002002000,2022,F,099,Z,Q,
6400000000,6400800000,2022,F,103,Z,Q,
6500000000,6500100000,2022,F,106,Z,G,
6300000000,6300600000,2022,X,111,Z,9,
6300000000,6301200000,2022,M,110,I,G,
1001400000,1001401000,2022,M,099,C,Z,
