OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
6300000000,D,D,,,,M,096,A,C,C,X,,,,M,069,F,G,,X,,,,B,A,,107010109,2018,01,6300800000
6300000000,H,I,,,,F,092,A,C,D,,,,,F,000,Z,B,,,,,,B,,,107010100,2018,01,
6500000000,C,C,,,,M,101,A,A,I,X,,,,M,067,F,A,,X,,,,B,,,106123010,2018,01,6500400000
6500000000,C,C,,,,M,105,A,A,I,X,,,,M,067,F,A,,X,,,,B,,,106123010,2018,01,6500400000
6500000000,C,C,,,,F,090,A,C,E,X,,,,M,000,D,A,,X,,,,,,,106123008,2018,01,6500900000
6500000000,C,C,,,,M,090,A,C,E,X,,,,M,064,F,A,,X,,,,,,,106122823,2018,01,6500200000
6300000000,H,E,,,,M,091,A,A,I,X,,,,F,064,,B,,X,,,,,,,106123012,2018,01,6300200000
6500000000,D,D,,,,F,102,A,A,Z,X,,,,,,,B,,,,,,,,,106010100,2018,01,6500300000
6300000000,H,H,,,,M,105,A,A,I,X,,,,M,059,F,A,,X,,,,B,D,,107010201,2018,01,6300800000
6500000000,H,H,,,,F,089,A,C,E,X,,,,M,058,G,A,,X,,,,B,,,106112902,2018,01,6500200000
1001900000,D,D,,,,M,098,A,C,C,X,,,,F,085,G,H,,X,,,,B,,,106103020,2018,01,6600500000
0902000000,D,D,,,,M,092,A,C,D,X,,,,M,068,E,I,,,,,,,,,106122917,2018,01,0902004000
6500000000,D,D,,,,M,091,A,C,D,,,,,M,059,,A,,X,,,,Z,,,106122923,2018,01,6501400000
1001900000,D,D,,,,M,097,A,C,C,X,,,,F,065,E,B,,X,,,,,,,106122923,2018,01,6601700000
1001500000,D,D,,,,F,094,X,C,D,X,,,,M,057,Z,A,,X,,,,Z,,,106122920,2018,01,1001504000
6400000000,D,D,,,,M,098,A,C,C,L,,,,M,070,E,A,,X,,,,,,,106123008,2018,01,6402900000
1000900000,D,D,,,,F,100,A,C,C,X,,,,M,069,F,A,,X,,,,,,,106123022,2018,01,1000901000
1001800000,D,D,,,,M,100,C,A,I,X,,,,M,065,H,A,,X,,,,,,,105112400,2018,01,1001801000
1001300000,D,D,,,,M,105,A,A,I,X,,,,F,068,Z,B,,X,,,,B,,,106123112,2018,01,1001301000
1001900000,D,D,,,,M,096,A,C,C,X,,,,M,055,D,A,,X,,,,B,,,106123117,2018,01,6601000000
1002100000,D,D,,,,M,091,A,,D,X,,,,M,064,F,A,,X,,,,B,,,106123115,2018,01,6703600000
1000700000,D,D,,,,F,092,A,C,D,X,,,,M,061,E,A,,X,,,,,,,106123109,2018,01,1000701000
1002100000,D,D,,,,M,095,A,C,C,X,,,,M,058,E,A,,X,,,,,B,,107010100,2018,01,
1001800000,D,D,,,,M,103,A,A,I,X,,,,M,071,E,A,,X,,,,,,,107010101,2018,01,1001801000
1000300000,D,D,,,,M,103,A,A,I,X,,,,F,067,,B,,X,,,,,D,B,107010109,2018,01,1000310000
1001900000,D,D,,,,F,099,A,C,C,CD,,,,F,046,D,I,,,,,,BZ,,,000000000,2018,01,6600900000
1002100000,D,D,,,,Z,093,A,C,D,X,,,,M,066,G,C,,X,,,,B,,,106123022,2018,01,6702000000
1000300000,D,D,,,,M,090,A,C,E,,,,,,,,B,,,,,A,,,,107010116,2018,01,1000308000
6400000000,D,D,,,,M,095,A,C,C,X,,,,M,060,,A,,X,,,,B,,,107010119,2018,01,6402500000
1001700000,D,D,,,,M,093,A,C,D,X,,,,F,085,,I,,M,,,,,,,107010121,2018,01,1001702000
1000300000,D,D,,,,F,090,O,C,E,X,,,,M,059,D,A,,X,,,,,D,,107010119,2018,01,1000302000
6500000000,D,D,,,,F,089,A,C,E,X,,,,M,066,E,A,,X,,,,,,,106123104,2018,01,6500100000
1000900000,D,D,,,,F,093,A,C,D,X,,,,M,051,F,A,,X,,,,B,,,107010121,2018,01,1000903000
6400000000,D,D,,,,F,092,A,C,D,X,,,,M,064,Z,A,,X,,,,B,,,107010123,2018,01,6400500000
1001900000,D,D,,,,M,095,A,C,C,X,,,,F,069,Z,B,,X,,,,,,,107010207,2018,01,6600900000
1001900000,D,D,,,,M,106,A,A,I,X,,,,F,071,E,B,,X,,,,ON,ABD,,107010215,2018,01,6601700000
1000400000,H,C,,,,F,091,J,,Z,X,,,,M,000,,A,,,,,,B,,,106122320,2018,01,1000413000
1000300000,F,F,,,,F,097,A,C,C,X,,,,M,000,,A,,,,,,,,,106122720,2018,01,1000310000
1000400000,H,E,,,,F,104,Q,A,I,X,,,,M,070,,A,,X,,,,B,,,106122800,2018,01,1000413000
1000500000,H,E,,,,M,101,A,,Z,X,,,,M,000,,A,,,,,,B,,,106122800,2018,01,1000501000
1000500000,F,F,,,,M,096,A,C,C,X,,,,M,000,,A,,,,,,Z,,,106122800,2018,01,1000505000
1002100000,F,F,,,,M,092,A,D,D,X,,,,M,057,,A,,X,,,,,BD,,106122900,2018,01,6700600000
1001900000,F,F,,,,F,090,A,C,E,X,,,,M,000,,A,,,,,,B,,,106000000,2018,01,6600400000
6400000000,H,I,,,,F,097,A,C,C,X,,,,M,060,Z,A,,X,,,,B,,,106122918,2018,01,6401500000
1001800000,C,C,,,,M,091,A,C,D,X,,,,M,060,F,A,,X,,,,,,,106092619,2018,01,
1002100000,H,E,,,,M,106,A,A,Z,X,,,,F,088,D,B,,X,,,,B,,,106120000,2018,01,
1000300000,F,F,,,,M,096,A,C,C,X,,,,M,000,,A,,,,,,B,,,106122920,2018,01,1000308000
0902000000,H,C,,,,M,093,A,C,D,,,,,,000,,I,,,,,,B,,,106122918,2018,01,0902004000
1000300000,H,I,,,,F,100,A,C,C,X,,,,M,076,Z,A,,,,,,B,A,,106122912,2018,01,
1001400000,H,I,,,,M,105,J,A,I,,,,,M,000,Z,A,,,,,,B,,,106100000,2018,01,
1000800000,C,C,,,,F,091,A,C,E,N,,,,,063,E,A,,X,,,,,,,106122922,2018,01,1000804000
1000500000,H,I,,,,M,093,J,C,D,,,,,M,000,Z,A,,,,,,B,,,106120000,2018,01,
6500000000,H,C,,,,F,101,J,,Z,,,,,,,,A,,,,,,,,,106122921,2018,01,6500100000
1002100000,H,I,,,,F,096,A,C,C,X,,,,M,067,Z,A,,X,,,,B,,,000000000,2018,01,
6400000000,C,C,,,,F,098,A,C,C,X,,,,M,065,,A,,,,,,,A,,106122606,2018,01,6401600000
6400000000,C,C,,,,F,093,A,C,D,X,,,,M,065,,A,,X,,,,,,,106122421,2018,01,6401600000
6400000000,C,C,,,,F,102,A,B,I,X,,,,F,043,,I,,X,,,,,,,106122923,2018,01,6401200000
6400000000,H,C,,,,M,097,A,A,C,X,,,,F,074,,B,,,,,,O,,,106123011,2018,01,6401200000
6500000000,H,I,,,,F,091,A,B,E,X,,,,F,060,Z,B,,,,,,B,,,106123010,2018,01,6500400000
1001700000,H,I,,,,M,100,J,C,C,,,,,F,000,Z,B,,,,,,B,,,106123013,2018,01,
1001700000,H,I,,,,M,101,J,B,I,,,,,F,000,Z,B,,,,,,B,,,106123013,2018,01,
1000700000,H,I,,,,F,096,J,C,C,,,,,M,070,Z,A,,,,,,B,,,000000000,2018,01,1000723000
1001900000,H,I,,,,M,091,J,C,E,X,,,,F,000,Z,B,,X,,,,B,,,106123015,2018,01,
1000400000,H,I,,,,F,091,J,C,E,,,,,M,055,Z,A,,,,,,B,,,106123017,2018,01,
1001400000,H,I,,,,M,096,J,C,C,,,,,M,069,Z,A,,,,,,B,,,106121700,2018,01,1001404000
1000300000,H,I,,,,M,094,A,C,D,L,,,,M,062,Z,A,,,,,,B,,,106123000,2018,01,
1000700000,H,I,,,,F,091,J,E,E,,,,,M,072,Z,A,,,,,,B,,,106123000,2018,01,
6400000000,H,I,,,,M,097,A,C,C,X,,,,M,066,Z,A,,X,,,,B,,,106120000,2018,01,6400400000
6400000000,C,C,,,,M,103,A,A,I,X,,,,M,066,,A,,X,,,,,,,106123019,2018,01,6401100000
1001500000,H,I,,,,F,091,A,C,E,X,,,,F,069,Z,B,,X,,,,B,,,106123020,2018,01,1001506000
1002100000,H,I,,,,M,097,A,C,C,K,,,,F,066,G,B,,X,,,,B,,,106123023,2018,01,6703300000
6400000000,H,I,,,,M,096,A,C,C,X,,,,F,052,Z,I,,X,,,,B,,,106000000,2018,01,6401200000
6400000000,H,I,,,,M,098,A,C,C,X,,,,M,048,Z,A,,X,,,,B,,,106123000,2018,01,6401100000
1000900000,H,I,,,,M,095,J,C,C,,,,,M,057,Z,A,,M,,,,B,,,000000000,2018,01,
1001300000,H,I,,,,M,094,A,C,D,X,,,,M,069,Z,A,,E,,,,B,,,106123100,2018,01,1001317000
6400000000,H,I,,,,F,089,A,C,E,X,,,,F,063,Z,B,,X,,,,B,,,106123117,2018,01,6402900000
6400000000,H,I,,,,M,103,A,A,I,X,,,,F,069,Z,B,,X,,,,B,,B,106120000,2018,01,6400800000
1002100000,H,I,,,,M,101,A,B,I,E,,,,F,038,Z,I,,X,,,,B,,,106123100,2018,01,
6500000000,H,I,,,,F,000,J,C,Z,,,,,F,000,Z,B,,,,,,,,,106123122,2018,01,
6500000000,H,I,,,,F,091,J,C,Z,,,,,M,065,B,A,,,,,,B,,,106123121,2018,01,
1002100000,H,I,,,,M,098,A,C,C,X,,,,M,053,Z,A,,X,,,,B,,,106123000,2018,01,
1001900000,H,I,,,,M,091,J,C,D,,,,,M,000,Z,A,,,,,,B,,,106123111,2018,01,6600300000
6500000000,H,I,,,,M,090,A,E,E,Z,,,,F,093,D,I,,Z,亞斯伯格症併ADHD,,,B,,,107010114,2018,01,6500600000
6500000000,H,I,,,,F,093,A,C,D,Z,,,,M,090,E,I,,Z,ADD併ADHD,,,B,,,107010114,2018,01,6500600000
6500000000,H,I,,,,M,101,J,B,I,,,,,M,000,Z,A,,,,,,B,,,107010100,2018,01,
1001300000,C,C,,,,F,105,A,A,Z,,,,,,075,E,A,,,,,,,AD,,107010113,2018,01,1001313000
6400000000,F,F,,,,F,090,A,C,E,X,,,,M,068,,A,,X,,,,BO,A,,106122800,2018,01,6401300000
1000900000,H,E,,,,M,096,A,C,C,X,,,,M,057,D,A,,X,,,,B,,,106122810,2018,01,1000913000
1002100000,H,E,,,,M,101,A,,Z,X,,,,M,068,,A,,X,,,,,,B,000000000,2018,01,
6500000000,F,F,,,,F,097,A,C,C,X,,,,F,072,,B,,X,,,,F,,,000000000,2018,01,6500100000
1001300000,H,I,,,,F,090,A,C,E,X,,,,M,063,Z,A,,,,,,B,,,106120000,2018,01,1001301000
1001300000,C,C,,,,M,089,A,C,E,,,,,M,000,,I,,X,,,,B,,,107010109,2018,01,1001305000
6400000000,N,E,,,,F,094,A,C,D,X,,,,M,064,,A,,X,,,,AO,,,106120000,2018,01,6402600000
1001300000,F,F,,,,F,093,A,C,Z,X,,,,F,074,Z,B,,M,,,,,,,106123100,2018,01,1001324000
1002100000,F,F,,,,M,100,A,C,C,X,,,,M,073,Z,A,,X,,,,B,,,107010119,2018,01,6703100000
1002100000,H,I,,,,M,101,A,C,I,X,,,,M,065,Z,A,,X,,,,B,,,107010200,2018,01,
1000300000,C,C,,,,M,096,A,C,C,X,,,,M,072,F,A,,X,,,,B,,,106122800,2018,01,1000301000
1001300000,H,H,,,,F,104,A,A,I,X,,,,F,068,Z,B,,X,,,,B,,,106122914,2018,01,1001317000
1001300000,F,F,,,,M,094,A,C,Z,X,,,,F,074,Z,B,,M,,,,,,,106123100,2018,01,1001324000
1002100000,H,E,,,,M,105,A,A,I,X,,,,M,079,F,A,,X,,,,B,,,107010114,2018,01,6700600000
6400000000,H,C,,,,M,105,A,A,I,X,,,,F,000,,B,,,,,,,,,107010211,2018,01,6401200000
1000700000,F,F,,,,M,093,A,C,D,X,,,,M,000,,A,,,,,,B,,,107010115,2018,01,
1001900000,H,E,,,,F,096,A,C,Z,X,,,,M,000,,A,,,,,,Z,,,106121815,2018,01,6602700000
6400000000,H,F,,,,F,100,A,C,C,X,,,,M,070,,A,,X,,,,Z,,,106123000,2018,01,6401100000
1001900000,H,I,,,,F,090,J,C,E,,,,,M,000,Z,A,,,,,,B,A,,107010212,2018,01,
1001400000,F,F,,,,M,098,J,C,C,X,,,,F,078,,B,,,,,,Z,,,107010209,2018,01,1001401000
6400000000,F,F,,,,F,093,A,C,D,X,,,,F,071,,B,,M,,,,,,,107010201,2018,01,6402700000
1001900000,C,C,,,,F,106,A,A,I,X,,,,,000,,I,,,,,,,,B,106122717,2018,01,6602800000
6500000000,C,C,,,,M,107,A,A,Z,L,,,,F,073,,B,,X,,,,Z,,,107010200,2018,01,6500600000
6300000000,F,F,,,,M,099,A,C,C,X,,,,,,,A,,,,,,,,,107010120,2018,01,6300900000
6400000000,F,F,,,,M,097,A,C,Z,X,,,,F,069,,B,,X,,,,,,,106123000,2018,01,6402400000
1002000000,H,E,,,,F,099,A,C,C,X,,,,M,062,,A,,X,,,,,,,106070000,2018,01,1002002000
