OWNERCITYCODE,OWNERTOWNCODE,RECEIVEYYYY,GENDER,BDATE,EDUCATION,RELATION,OTHERNOTFAMILYMEMBER
6400000000,6401700000,2019,M,098,C,F,
6400000000,6401400000,2019,F,100,C,G,
1002100000,,2019,M,097,C,T,
1001900000,,2019,F,104,I,F,
6300000000,6300700000,2019,M,103,I,F,
6400000000,6400400000,2019,F,093,Z,Q,
6400000000,6400400000,2019,F,093,Z,Q,
1000900000,1000902000,2019,M,102,I,F,
6400000000,6400200000,2019,M,095,D,K,
6500000000,6500100000,2019,M,092,D,,
1002100000,,2019,F,095,Z,Q,
1001300000,1001302000,2019,M,095,D,,
1001900000,,2019,F,093,Z,,
1002100000,,2019,F,101,Z,Q,
6300000000,6300100000,2019,F,101,C,G,
6500000000,6502300000,2019,M,097,C,,
6300000000,6300700000,2019,M,106,I,M,
1001900000,,2019,F,091,E,Z,
1001900000,,2019,M,107,I,,
6500000000,6500100000,2019,M,097,C,B,
1001000000,1001006000,2019,M,097,C,Z,
1001900000,,2019,M,107,I,F,
6400000000,6403100000,2019,F,108,I,G,
1002100000,,2019,M,102,I,F,
1002100000,,2019,M,099,C,G,
1000300000,1000301000,2019,F,095,Z,Q,
1000300000,1000301000,2019,M,096,Z,Q,
1000300000,1000301000,2019,M,096,Z,,
1000300000,1000301000,2019,F,092,Z,Q,
1000300000,1000312000,2019,F,097,C,G,
1000500000,1000504000,2019,M,106,I,,
6300000000,6300200000,2019,M,101,C,F,
6400000000,6403100000,2019,M,101,C,H,
6500000000,6500300000,2019,F,102,I,G,
6500000000,6500300000,2019,F,106,I,G,
6400000000,6401200000,2019,F,096,Z,W,
6400000000,6401200000,2019,F,095,Z,W,
1000700000,1000707000,2019,F,107,Z,,
6400000000,6401200000,2019,F,096,Z,W,
6400000000,6401200000,2019,F,096,Z,W,
6500000000,6500900000,2019,F,097,C,,
1001900000,,2019,M,094,D,F,
6500000000,6500400000,2019,M,106,I,,
6500000000,6500400000,2019,F,105,Z,,
6400000000,6400300000,2019,M,098,C,F,
6400000000,,2019,Z,,Z,S,
6300000000,6301000000,2019,F,099,Z,Q,
1001800000,1001803000,2019,M,101,C,A,
1001900000,,2019,M,095,D,F,
1001900000,,2019,F,090,E,,
6500000000,,2019,M,097,C,,
1001500000,1001501000,2019,F,097,C,F,
1000700000,1000702000,2019,M,094,D,,
6400000000,6400300000,2019,F,000,Z,,
1002100000,,2019,F,094,D,G,
1002100000,,2019,F,095,D,I,
6500000000,6501300000,2019,F,097,C,F,
6500000000,6500100000,2019,F,101,Z,,
6500000000,6500600000,2019,F,093,Z,S,
1001900000,,2019,M,102,I,F,
6500000000,6501300000,2019,F,097,C,,
6500000000,6501200000,2019,F,092,D,,
1001900000,,2019,F,090,E,,
1001900000,,2019,M,094,D,G,
1001900000,,2019,M,094,Z,Q,
1001900000,,2019,X,091,Z,Q,
1001900000,,2019,M,096,Z,Q,
6400000000,6402100000,2019,F,,I,F,
6400000000,6401100000,2019,M,094,Z,Q,
1001900000,,2019,F,096,C,,
1001900000,,2019,F,096,Z,Q,
1001800000,,2019,M,098,C,M,
1001900000,,2019,M,106,I,,
6400000000,6400600000,2019,M,094,D,F,
1000400000,1000406000,2019,F,100,C,,
1000400000,1000402000,2019,M,107,I,G,
1001900000,,2019,M,096,C,C,
6300000000,6300400000,2019,M,100,C,C,
6300000000,6301100000,2019,F,098,C,,
6300000000,,2019,M,108,A,,
6300000000,6300800000,2019,F,095,D,,
1000300000,1000301000,2019,M,101,C,F,
1000300000,1000304000,2019,M,094,D,,
1000300000,1000308000,2019,M,095,D,F,
1000300000,1000302000,2019,M,097,Z,Q,
1000300000,1000302000,2019,M,096,Z,Q,
1000300000,1000305000,2019,M,092,Z,S,
1000300000,1000302000,2019,F,104,I,2,
1000300000,1000307000,2019,M,090,E,,
1000300000,1000301000,2019,F,094,D,F,
1001500000,1001511000,2019,F,094,Z,V,
1001500000,1001505000,2019,F,093,D,,
6400000000,6400300000,2019,M,107,I,F,
6500000000,6500500000,2019,F,093,D,N,
6500000000,6501400000,2019,F,107,I,,
6400000000,,2019,M,104,I,,
6400000000,6400900000,2019,M,094,D,,
1001300000,1001326000,2019,M,094,Z,,
1001300000,1001318000,2019,F,099,Z,,
1001300000,1001309000,2019,F,093,D,G,
1001300000,1001309000,2019,F,093,D,G,
1001300000,1001311000,2019,F,091,E,,
6500000000,6501300000,2019,F,095,C,,
6400000000,6400900000,2019,F,102,I,,
1000700000,1000715000,2019,F,105,I,,
6400000000,6400100000,2019,M,098,Z,Q,
1001900000,,2019,M,096,C,F,
1001900000,,2019,F,105,I,F,
1001900000,,2019,F,103,I,G,
1000500000,1000504000,2019,F,095,Z,,
6400000000,6401200000,2019,M,095,D,F,
6500000000,6500100000,2019,M,101,I,S,
6500000000,6501300000,2019,F,096,Z,F,
1000700000,1000723000,2019,F,101,Z,G,
1001800000,1001802000,2019,F,094,Z,Q,
1001900000,,2019,M,091,E,F,
6500000000,6500500000,2019,M,094,D,F,
6500000000,6500500000,2019,F,097,C,F,
6300000000,6300700000,2019,X,094,Z,,
1001900000,,2019,F,100,C,Z,
1001900000,,2019,M,105,I,,
1001900000,,2019,F,094,D,F,
1001400000,1001404000,2019,X,092,Z,,
1002100000,,2019,M,102,I,F,
1001900000,,2019,F,106,I,C,
1000700000,1000701000,2019,F,104,I,,
1000700000,1000705000,2019,M,091,Z,,
1000700000,1000704000,2019,M,107,I,,
1001900000,,2019,M,106,I,F,
6500000000,6500500000,2019,F,091,D,G,
1000700000,1000710000,2019,M,107,Z,,
6400000000,,2019,M,098,Z,G,
6400000000,6401200000,2019,F,090,E,F,
1001700000,1001705000,2019,F,090,E,,
6400000000,6400200000,2019,F,107,Z,F,
6500000000,6500200000,2019,F,095,D,F,
6400000000,6401700000,2019,M,107,I,,
6400000000,6401200000,2019,M,098,C,N,
6500000000,6500500000,2019,M,102,I,F,
6400000000,6401100000,2019,M,096,C,F,
6400000000,6402000000,2019,M,103,I,Z,
6400000000,6401200000,2019,M,107,I,F,
1002100000,,2019,M,103,I,H,
6500000000,6500200000,2019,F,101,I,,
6400000000,,2019,F,101,C,G,
1000900000,1000905000,2019,M,101,I,A,
6400000000,6402100000,2019,F,099,C,F,
6500000000,,2019,F,101,C,,
6300000000,6301200000,2019,M,098,C,G,
6300000000,6300100000,2019,M,100,C,,
1001000000,1001009000,2019,M,095,D,F,
1000300000,1000305000,2019,M,095,Z,Q,
1000300000,1000303000,2019,F,104,Z,G,
1000300000,1000301000,2019,M,093,D,F,
1000300000,1000302000,2019,M,096,Z,Q,
6400000000,6401100000,2019,F,105,I,G,
1001300000,1001313000,2019,M,106,Z,,
6400000000,6402000000,2019,F,095,C,X,
1001300000,1001301000,2019,M,099,C,,
1002100000,,2019,F,097,C,G,
1002100000,,2019,M,101,I,G,
6400000000,,2019,M,105,I,H,
1002100000,,2019,M,099,C,K,
1002000000,1002002000,2019,F,090,E,Z,
1002100000,,2019,M,103,I,S,
1000200000,1000208000,2019,M,101,C,F,
1002100000,,2019,F,104,I,G,
1001900000,,2019,X,091,Z,,
6300000000,6300900000,2019,M,099,Z,Q,
1000200000,1000207000,2019,M,091,E,F,
6400000000,6400400000,2019,F,091,E,C,
1002100000,,2019,M,096,C,G,
6400000000,6400400000,2019,M,097,C,F,
6500000000,6500200000,2019,M,097,C,F,
1002000000,1002001000,2019,F,091,E,F,
6500000000,6501400000,2019,F,093,C,,
6500000000,6500700000,2019,M,101,Z,,
1000200000,1000209000,2019,F,106,Z,,
1000900000,1000913000,2019,F,098,C,,
6500000000,6501200000,2019,F,096,C,F,
1002100000,,2019,F,094,Z,Q,
1000700000,1000701000,2019,M,104,I,G,
1000500000,1000506000,2019,M,091,E,F,
1001800000,1001802000,2019,F,090,Z,Q,
1001900000,,2019,M,103,I,Z,
6500000000,6500600000,2019,M,091,E,,
6500000000,6501200000,2019,F,096,C,F,
1000700000,1000708000,2019,M,104,I,G,
1001900000,,2019,F,104,I,F,
1000700000,1000721000,2019,M,098,Z,,
1001900000,,2019,F,095,D,G,
1001900000,,2019,M,101,C,,
1001900000,,2019,M,098,C,H,
1001900000,,2019,F,095,C,,
6300000000,6300400000,2019,M,106,I,,
6500000000,6502700000,2019,M,092,D,Q,
6500000000,6502700000,2019,F,092,D,Q,
1001900000,,2019,F,097,C,F,
1001900000,,2019,M,105,I,,
6300000000,6300300000,2019,M,092,E,,
1001900000,,2019,M,093,D,,
6300000000,6301000000,2019,M,098,Z,,
1000200000,1000209000,2019,M,102,I,,
1001900000,,2019,M,101,C,F,
6300000000,6300800000,2019,F,104,I,F,
1001900000,,2019,F,107,I,,
1000400000,1000401000,2019,F,107,I,F,
1000300000,1000310000,2019,M,099,Z,Q,
1000300000,1000301000,2019,F,093,Z,Q,
1000300000,1000304000,2019,F,095,D,Z,
1000300000,1000301000,2019,F,101,C,F,
1001500000,1001511000,2019,F,090,E,Z,
1001800000,1001802000,2019,M,094,D,G,
1001300000,1001323000,2019,M,095,D,,
