OWNERCITYCODE,OWNERTOWNCODE,RECEIVEYYYY,GENDER,BDATE,EDUCATION,RELATION,OTHERNOTFAMILYMEMBER
1001900000,,2021,F,008,Z,E,
6300000000,6301000000,2021,F,102,C,F,
1001900000,,2021,M,095,D,G,
6500000000,6500700000,2021,M,100,C,F,
6400000000,6403200000,2021,F,098,Z,S,
1000900000,1000902000,2021,F,096,Z,Q,
6300000000,6301000000,2021,M,095,D,F,
1000700000,1000724000,2021,M,107,I,F,
1001900000,,2021,F,095,D,F,
6300000000,6300800000,2021,F,094,D,F,
6500000000,6500700000,2021,F,096,Z,G,
6500000000,6500600000,2021,F,099,C,F,
6400000000,6401400000,2021,F,096,D,F,
6400000000,6400200000,2021,M,103,Z,Q,
1000300000,1000305000,2021,M,101,C,F,
1001300000,1001308000,2021,F,094,Z,Q,
1001300000,1001308000,2021,F,101,Z,Q,
1000300000,1000302000,2021,F,102,Z,Q,
6500000000,6501200000,2021,F,092,Z,p,
6500000000,6501500000,2021,F,099,Z,Q,
6500000000,6501000000,2021,F,098,C,G,
1000700000,1000720000,2021,F,095,Z,Q,
6500000000,6501000000,2021,M,093,Z,F,
1000400000,1000403000,2021,F,096,Z,Q,
6500000000,6500100000,2021,M,100,C,F,
1001000000,1001004000,2021,F,092,Z,Q,
6500000000,6501600000,2021,M,105,I,F,
1000800000,1000813000,2021,M,104,Z,K,
6500000000,6501400000,2021,M,097,C,F,
1000400000,1000406000,2021,M,101,C,G,
1000900000,1000904000,2021,F,103,Z,Q,
1001900000,,2021,F,101,Z,Q,
1001900000,,2021,F,099,C,F,
1001900000,,2021,M,103,C,F,
6400000000,6400200000,2021,M,094,E,F,
6400000000,6400900000,2021,M,099,C,F,
1001900000,,2021,X,092,Z,Q,
1001900000,,2021,M,092,E,9,
6300000000,6301100000,2021,M,100,Z,Q,
1000700000,1000703000,2021,F,096,Z,Q,
1000700000,1000703000,2021,F,095,Z,Q,
6300000000,6300100000,2021,F,097,C,F,
6500000000,6500300000,2021,M,101,C,G,
6400000000,6400500000,2021,M,100,C,F,
6300000000,6301100000,2021,F,098,Z,S,
1000300000,1000307000,2021,M,098,C,G,
1001900000,,2021,M,101,C,G,
1000300000,1000306000,2021,F,096,Z,Q,
6500000000,6500400000,2021,M,101,Z,F,
1002100000,,2021,M,099,C,G,
1002100000,,2021,M,098,Z,Q,
1000300000,1000302000,2021,F,095,Z,Q,
6400000000,6400500000,2021,M,098,Z,Q,
1002100000,,2021,M,097,Z,Q,
1002100000,,2021,F,097,C,G,
1001500000,1001501000,2021,M,104,I,Y,
6400000000,6400500000,2021,M,102,Z,Q,
1001400000,1001402000,2021,M,096,D,9,
1000300000,1000301000,2021,M,100,C,F,
6300000000,6301000000,2021,F,106,I,G,
6400000000,6401100000,2021,F,096,Z,E,
1000300000,1000310000,2021,F,092,E,G,
1001900000,,2021,M,104,I,F,
1000800000,1000812000,2021,F,095,D,Z,
1000700000,1000702000,2021,M,103,C,G,
1002100000,,2021,M,097,D,S,
6300000000,6300700000,2021,F,105,I,H,
1000300000,1000305000,2021,M,095,D,G,
1000300000,1000308000,2021,M,101,C,F,
1000500000,1000505000,2021,F,110,I,G,
1001900000,,2021,F,095,Z,Q,
1000300000,1000310000,2021,M,100,C,G,
1001900000,,2021,F,102,C,Z,
1001800000,1001803000,2021,M,098,Z,Q,
1002100000,,2021,F,099,Z,Q,
1002100000,,2021,F,095,Z,Q,
1002100000,,2021,F,096,Z,Q,
1002100000,,2021,F,095,Z,Q,
1002100000,,2021,F,096,Z,Q,
1002100000,,2021,M,104,D,Z,
6500000000,6500200000,2021,F,096,D,F,
1002100000,,2021,M,103,C,G,
6500000000,6500500000,2021,M,106,I,9,
6400000000,6400300000,2021,M,099,C,F,
1001000000,1001015000,2021,F,106,I,F,
1001000000,1001015000,2021,M,104,I,F,
1001300000,1001303000,2021,F,102,C,G,
1001300000,1001322000,2021,M,106,I,G,
6300000000,6301200000,2021,F,093,E,G,
1001900000,,2021,F,100,Z,H,
1001500000,1001503000,2021,M,103,C,H,
6400000000,6401100000,2021,M,101,C,F,
