OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1002100000,H,I,,,,M,089,J,C,E,X,,,,F,060,Z,B,,X,,,,B,,,,2016,01,6703500000
1000700000,H,I,,,,F,099,J,,I,X,,,,M,000,Z,A,,X,,,,,,B,,2016,01,1000704000
6500000000,H,I,,,,M,000,J,C,C,,,,,F,000,Z,B,,Z,,,,B,A,,,2016,01,
6500000000,H,I,,,,M,093,J,C,C,,,,,F,072,Z,B,,,,,,B,,,,2016,01,
1000300000,F,F,,,,F,089,A,C,E,X,,,,M,000,,A,,,,,,AB,,,,2016,01,1000308000
1000500000,F,F,,,,F,090,J,C,Z,X,,,,M,000,D,I,,X,,,,,,,,2016,01,1000505000
6500000000,F,F,,,,M,095,A,C,C,X,,,,M,065,F,A,,,,,,B,,,,2016,01,6500300000
6500000000,F,F,,,,F,098,A,C,C,,,,,M,076,D,A,,,,,,B,,,,2016,01,6500300000
1002100000,H,C,,,,F,101,J,A,I,X,,,,M,072,,A,,X,,,,B,,,,2016,01,6703200000
6500000000,H,H,,,,M,089,A,E,D,X,,,,M,053,,A,,X,,,,B,,,,2016,01,6501700000
6500000000,F,F,,,,M,097,A,C,C,X,,,,M,063,,A,,,,,,,,,,2016,01,6500500000
1000700000,F,F,,,,M,095,A,C,C,L,,,,M,063,,A,,X,,,,Z,,,,2016,01,1000709000
6500000000,F,F,,,,M,089,O,C,D,X,,,,M,080,G,I,,X,,,,B,,,,2016,01,6500800000
6500000000,Z,Z,,,,M,103,A,A,I,X,,,,M,057,,A,,X,,,,B,,B,,2016,01,6500900000
1001000000,F,F,,,,F,090,A,C,D,X,,,,F,000,,B,,X,,,,,B,,,2016,01,1001002000
6300000000,F,F,,,,M,098,A,C,Z,X,,,,F,000,,B,,X,,,,B,,,,2016,01,6300700000
6500000000,H,E,,,,M,103,A,A,I,,,,,F,084,,B,,,,,,B,,,,2016,01,6500600000
1001800000,F,F,,,,M,093,A,C,C,Y,,,,F,000,,B,,X,,,,,,,,2016,01,1001801000
6300000000,F,F,,,,F,089,A,C,D,X,,,,F,068,F,B,,,,,,B,,,,2016,01,6300800000
1000700000,F,F,,,,F,091,A,C,D,X,,,,M,068,,A,,,,,,B,A,,,2016,01,1000720000
6500000000,F,F,,,,M,096,A,C,C,,,,,F,000,,B,,,,,,B,,,,2016,01,6500300000
1001800000,H,C,,,,F,104,A,A,I,X,,,,F,000,,B,,,,,,A,,,,2016,01,
6300000000,F,F,,,,F,090,A,C,D,X,,,,M,000,E,A,,,,,,Z,D,,,2016,01,6301200000
