OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
6300000000,,C,,,,M,092,A,C,D,X,,,,M,053,,A,,X,,,,,,,106010121,2017,01,6300800000
6300000000,D,D,,,,M,096,A,C,C,X,,,,F,060,Z,B,,X,,,,Z,,,106010117,2017,01,6300300000
6300000000,C,C,,,,F,089,A,C,F,X,,,,M,062,F,A,,X,,,,,,,106010115,2017,01,6300300000
6300000000,D,D,,,,M,096,A,,C,X,,,,M,074,Z,A,,X,,,,B,,,106010222,2017,01,6300300000
1001900000,C,C,,,,F,098,A,,C,X,,,,F,067,G,B,,X,,,,,,,106010212,2017,01,6600500000
1001900000,H,C,,,,F,103,J,A,Z,X,,,,F,000,,B,,,,,,,,,106010212,2017,01,6601100000
6400000000,Z,H,,,,F,102,A,A,Z,,,,,,,,A,,,,,,B,,,106010120,2017,01,6401200000
1000700000,F,F,,,,F,097,J,C,C,,,,,,000,,A,,,,,,B,,,106010100,2017,01,1000712000
1001700000,H,C,,,,M,102,A,A,I,,,,,M,069,,G,,X,,,A,,BC,,106010311,2017,01,1001707000
6500000000,F,F,,,,M,091,J,C,D,X,,,,,000,,A,,,,,,Z,,,106010100,2017,01,6500200000
1001000000,F,F,,,,F,096,A,C,C,X,,,,F,062,D,B,,,,,,Z,D,,106010118,2017,01,1001005000
6500000000,F,F,,,,M,088,J,C,E,,,,,,,,A,,,,,,B,,,106010300,2017,01,6500100000
1002100000,H,E,,,,F,102,A,B,I,X,,,,M,077,,A,,X,,,,ON,BD,B,106010312,2017,01,6703500000
1001900000,F,F,,,,M,090,A,C,E,X,,,,M,000,,A,,,,,,Z,,,000000000,2017,01,6601700000
1001000000,H,C,,,,M,102,A,,Z,X,,,,M,077,Z,G,,X,,,,B,,,105010200,2017,01,1001012000
6400000000,F,F,,,,M,096,A,C,C,X,,,,M,067,,A,,X,,,,,,,000000000,2017,01,6401200000
6500000000,F,F,,,,Z,000,J,,Z,,,,,,000,,A,,,,,,Z,,,000000000,2017,01,6501100000
1001900000,F,F,,,,F,091,A,C,D,X,,,,M,000,,A,,,,,,B,,,106010200,2017,01,6600900000
6400000000,F,F,,,,M,097,A,C,C,X,,,,F,062,,B,,,,,,B,,,106010109,2017,01,6400300000
6500000000,F,F,,,,F,094,J,C,C,X,,,,,000,,A,,,,,,Z,A,,106010301,2017,01,6501300000
1002100000,H,E,,,,M,104,A,A,Z,X,,,,M,070,,A,,X,,,,B,,,106010102,2017,01,6700100000
1000700000,F,F,,,,F,091,A,C,D,X,,,,M,000,,A,,,,,,B,,,105122900,2017,01,1000711000
6500000000,F,F,,,,M,097,O,C,C,Y,,,,,000,,I,,,,,,,D,,106010304,2017,01,6500100000
6500000000,F,F,,,,M,093,A,C,C,X,,,,,065,,A,,,,,,,D,,106010216,2017,01,6500300000
1002100000,H,E,,,,M,089,A,C,E,X,,,,M,055,Z,A,,X,,,,B,,,105120000,2017,01,6703300000
1001700000,F,F,,,,M,096,A,C,C,L,,,,,,,G,,,,,,B,,,105122800,2017,01,1001706000
6400000000,F,F,,,,M,097,A,C,C,X,,,,M,069,,A,,,,,,B,,,106010316,2017,01,6400900000
6300000000,H,I,,,,F,098,A,C,C,X,,,,M,066,Z,A,,X,,,,B,,,106010320,2017,01,6300200000
1001700000,H,E,,,,F,088,A,F,E,X,,,,M,054,,A,,,,,,,B,,000000000,2017,01,1001702000
6500000000,C,C,,,,M,102,A,B,I,X,,,,F,075,G,B,,E,,,,B,,,105123111,2017,01,6500100000
6500000000,C,C,,,,F,091,A,C,D,X,,,,F,000,,B,,,,,,,,,104090000,2017,01,6500300000
6500000000,C,C,,,,F,102,A,B,I,X,,,,F,068,G,B,,X,,,,B,,,105120000,2017,01,6500900000
6500000000,H,H,,,,M,094,A,C,C,,,,,M,067,Z,A,,,,,,,,,106010311,2017,01,6501500000
6500000000,H,H,,,,M,095,A,C,C,,,,,M,067,Z,A,,,,,,B,,,106010311,2017,01,6501500000
1002100000,H,E,,,,M,105,A,A,I,X,,,,F,066,,B,,X,,,,,,B,105123108,2017,01,6703200000
6500000000,H,E,,,,F,102,A,A,I,X,,,,M,066,,A,,X,,,,,,,105122910,2017,01,6500300000
6500000000,H,E,,,,M,100,J,B,I,X,,,,M,000,,A,,X,,,,B,,,106010311,2017,01,
1002100000,D,D,,,,M,089,A,F,D,X,,,,M,079,D,I,,X,,,,Z,,,105123017,2017,01,6703400000
1000700000,D,D,,,,M,092,A,C,Z,X,,,,M,062,D,A,,X,,,,Z,,,105123018,2017,01,1000724000
1000300000,D,D,,,,M,092,A,C,D,X,,,,M,064,E,B,,X,,,,B,,,105122920,2017,01,1000301000
6400000000,D,D,,,,M,099,A,C,C,X,,,,M,063,E,A,,X,,,,B,,,105123021,2017,01,6401100000
6400000000,D,D,,,,F,089,A,C,Z,L,,,,F,048,,B,,X,,,,A,,,105123022,2017,01,6400300000
1001900000,D,D,,,,M,094,A,C,C,X,,,,M,072,E,A,,X,,,,,D,,105123019,2017,01,6602300000
