OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1002100000,F,F,,,,F,091,A,C,C,L,,,,,   ,,G,,,,,,,,,,2014,01,6700900000
6300000000,H,I,,,,F,000,J,C,D,,,,,F,058,Z,B,,,,,,,,,,2014,01,
6300000000,H,I,,,,M,093,J,C,C,,,,,F,000,Z,B,,,,,,B,,,,2014,01,
6300000000,H,I,,,,F,091,J,C,C,,,,,F,063,Z,B,,,,,,,,,,2014,01,
6500000000,H,I,,,,F,089,J,C,D,,,,,M,067,Z,A,,,,,,B,A,,,2014,01,
6500000000,H,I,,,,M,097,J,B,I,,,,,M,067,Z,A,,,,,,B,A,,,2014,01,
6500000000,H,I,,,,M,087,J,C,D,,,,,M,000,Z,A,,,,,,,,,,2014,01,
1000300000,H,I,,,,F,000,J,A,I,,,,,M,073,Z,A,,,,,,B,,,,2014,01,
6500000000,H,I,,,,F,089,J,,Z,,,,,F,055,Z,B,,,,,,,,,,2014,01,
1001900000,H,I,,,,F,090,J,C,D,,,,,M,067,Z,A,,,,,,B,,,,2014,01,
1000300000,H,I,,,,M,000,J,F,D,,,,,F,000,Z,B,,,,,,B,,,,2014,01,
1000800000,H,I,,,,F,085,J,E,E,,,,,F,000,Z,B,,,,,,B,A,,,2014,01,
6400000000,H,I,,,,F,093,A,C,C,X,,,,F,061,G,B,,X,,,,B,,,,2014,01,
6500000000,H,I,,,,M,096,J,C,I,,,,,M,060,Z,A,,,,,,B,,,,2014,01,
1001900000,H,I,,,,M,100,J,A,I,X,,,,M,073,Z,A,,,,,,B,,,,2014,01,
6500000000,H,I,,,,F,090,O,C,C,X,,,,M,000,Z,A,,,,,,,,,,2014,01,6500700000
1000700000,H,I,,,,M,091,J,C,C,,,,,M,053,Z,A,,,,,,B,A,,,2014,01,
1001700000,H,I,,,,F,000,J,C,D,,,,,M,000,Z,A,,,,,,,,,,2014,01,
6400000000,H,I,,,,M,088,A,C,D,NY,,,,M,057,Z,A,,,,,,,,,,2014,01,
1001900000,H,I,,,,M,089,J,C,D,X,,,,,058,Z,B,,X,,,,B,,,,2014,01,
6500000000,H,I,,,,F,086,J,C,E,,,,,M,056,Z,I,,,,,,,,,,2014,01,
1001900000,H,I,,,,M,091,J,C,C,,,,,M,060,Z,A,,,,,,,,,,2014,01,
1000400000,H,I,,,,F,097,L,B,I,,,,,M,000,Z,A,,,,,,B,,B,,2014,01,
1000400000,H,I,,,,M,094,L,C,C,,,,,M,000,Z,A,,,,,,B,,,,2014,01,
1001900000,H,I,,,,M,093,J,C,C,,,,,M,060,Z,A,,,,,,,,,,2014,01,
1001900000,H,I,,,,F,086,J,C,E,,,,,M,051,Z,A,,,,,,,,,,2014,01,
6300000000,H,I,,,,F,100,J,A,I,X,,,,M,000,Z,A,,X,,,,B,,,,2014,01,
6300000000,H,I,,,,M,097,J,C,C,,,,,M,000,Z,A,,X,,,,B,,,,2014,01,
1001900000,H,I,,,,F,089,J,C,D,,,,,M,063,Z,A,,,,,,B,,,,2014,01,
1001900000,H,I,,,,F,089,J,C,D,,,,,M,063,Z,A,,,,,,B,,,,2014,01,
6400000000,H,I,,,,M,085,A,,Z,,,,,M,056,Z,A,,,,,,B,,,,2014,01,
6500000000,H,I,,,,F,089,J,C,D,,,,,M,057,Z,A,,,,,,,,,,2014,01,
1001900000,H,I,,,,M,087,A,C,E,X,,,,F,063,E,B,,X,,,,B,,,,2014,01,
6400000000,H,I,,,,F,093,A,C,C,,,,,M,061,F,A,,,,,,,,,,2014,01,
6300000000,H,I,,,,F,087,J,C,D,,,,,M,000,Z,A,,,,,,,,,,2014,01,
1000300000,H,I,,,,F,089,J,C,D,,,,,F,060,Z,B,,,,,,,,,,2014,01,
1000300000,H,I,,,,M,087,J,C,E,,,,,M,000,Z,A,,,,,,B,,,,2014,01,
6400000000,F,F,,,,F,088,A,C,Z,,,,,M,068,,A,,,,,,,D,,,2014,01,6403100000
1002100000,H,C,,,,M,088,A,C,D,X,,,,M,000,D,A,,X,,,,B,,,,2014,01,6700700000
1001500000,H,E,,,,F,094,O,C,C,X,,,,M,070,Z,A,,X,,,,,B,A,,2014,01,1001501000
6500000000,F,F,,,,F,089,J,C,D,,,,,M,000,,A,,,,,,B,,,,2014,01,6500200000
6300000000,F,F,,,,F,088,A,C,D,Z,,,,M,000,,A,,,,,,B,ACD,,,2014,01,
1000700000,H,I,,,,F,087,J,C,D,,,,,M,064,Z,A,,,,,,B,A,,,2014,01,
