OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1002100000,D,D,,,,F,089,A,C,D,,,,,M,060,D,A,,,,,,,,,,2015,01,6703300000
6300000000,D,D,,,,M,088,A,C,E,,,,,M,058,Z,A,,,,,,,,,,2015,01,6300100000
1001600000,D,D,,,,M,089,A,C,D,,,,,M,066,D,A,,,,,,B,,,,2015,01,1001601000
1002100000,A,A,,,,M,000,A,C,E,,,,,M,000,E,A,,,,,,B,,,,2015,01,6701200000
1002100000,H,I,,,,M,090,J,C,D,,,,,F,070,Z,B,,EL,,,,B,A,,,2015,01,
6300000000,H,I,,,,M,089,J,C,Z,X,,,,M,052,Z,A,,X,,,,,,,,2015,01,
6300000000,H,I,,,,F,088,J,C,D,,,,,F,000,Z,I,,,,,,B,,,,2015,01,
1000900000,D,D,,,,M,089,J,,D,X,,,,M,038,Z,I,,X,,,,B,,,,2015,01,1000907000
6400000000,D,D,,,,M,102,A,A,I,X,,,,M,073,E,A,,,,,,,,,,2015,01,6401400000
6300000000,D,D,,,,M,086,A,C,E,,,,,M,057,E,A,,,,,,B,,,,2015,01,6301100000
6300000000,D,D,,,,M,088,A,C,E,,,,,M,057,E,A,,,,,,B,,,,2015,01,6301100000
6300000000,D,D,,,,M,097,A,C,C,,,,,F,071,C,B,,,,,,,,,,2015,01,6300700000
6300000000,D,D,,,,F,096,A,C,C,,,,,M,056,H,A,,,,,,B,,,,2015,01,6300200000
6400000000,H,I,,,,M,086,A,E,E,X,,,,F,060,Z,H,,X,,,,B,,,,2015,01,6400300000
1001300000,H,I,,,,F,088,J,C,D,X,,,,F,068,Z,B,,X,,,,B,,,,2015,01,1001301000
6300000000,H,I,,,,F,091,J,C,D,,,,,M,066,Z,A,,E,,,,B,,,,2015,01,
6300000000,H,I,,,,F,101,J,B,I,,,,,M,066,Z,A,,E,,,,B,,,,2015,01,
6300000000,H,I,,,,M,103,J,A,I,,,,,M,066,Z,A,,E,,,,BZ,,,,2015,01,
6300000000,H,I,,,,M,101,A,,Z,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
6300000000,H,I,,,,M,000,J,,Z,,,,,M,000,,A,,,,,,Z,,,,2015,01,
6400000000,D,D,,,,M,088,A,C,D,,,,,M,065,Z,A,,,,,,,,,,2015,01,6400400000
6400000000,D,D,,,,M,090,A,C,D,X,,,,,066,F,A,,,,,,Z,,,,2015,01,6401900000
6400000000,H,E,,,,F,096,A,C,C,X,,,,M,057,H,A,,X,,,,B,,,,2015,01,
1002100000,H,I,,,,F,100,A,A,I,,,,,M,000,Z,A,,,,,,B,,,,2015,01,6702100000
6400000000,C,C,,,,M,099,A,B,Z,X,,,,M,071,E,A,,X,,,,B,,,,2015,01,6402100000
6400000000,H,I,,,,F,098,A,B,I,X,,,,M,066,Z,A,,,,,,B,,,,2015,01,
6400000000,H,I,,,,M,101,A,A,Z,,,,,F,074,Z,B,,,,,,,,,,2015,01,
6300000000,H,I,,,,F,088,J,C,E,,,,,M,079,Z,I,,E,,,,B,,,,2015,01,
6400000000,D,D,,,,M,088,A,C,E,X,,,,M,060,Z,A,,,,,,,,,,2015,01,6400500000
6400000000,D,D,,,,F,091,A,C,D,X,,,,M,060,Z,A,,,,,,,,,,2015,01,6400500000
6400000000,D,D,,,,F,089,A,C,D,X,,,,M,060,D,A,,X,,,,B,,,,2015,01,6401900000
1002100000,D,D,,,,M,087,A,C,E,,,,,M,051,Z,A,,,,,,,,,,2015,01,6700100000
6300000000,D,D,,,,M,091,A,C,C,,,,,M,065,H,A,,,,,,,,,,2015,01,6300700000
6300000000,D,D,,,,M,087,A,C,E,,,,,M,058,,A,,,,,,,,,,2015,01,6300600000
1001900000,H,I,,,,F,102,J,A,I,,,,,M,077,Z,A,,,,,,B,,,,2015,01,
6400000000,C,C,,,,F,095,A,C,C,X,,,,,071,C,B,,X,,,,,,,,2015,01,6401600000
6400000000,C,C,,,,M,092,A,C,C,X,,,,M,079,D,I,,X,,,,,,,,2015,01,6401600000
6300000000,H,I,,,,F,092,J,C,C,,,,,M,043,Z,A,,,,,,B,A,,,2015,01,
6400000000,H,I,,,,F,088,A,,Z,X,,,,M,058,Z,I,,,,,,B,,,,2015,01,
6300000000,H,I,,,,M,086,J,C,E,,,,,F,050,Z,B,,,,,,B,,,,2015,01,
1002100000,H,C,,,,F,099,J,,Z,,,,,,,,A,,,,,,B,,,,2015,01,6702900000
6300000000,H,I,,,,F,087,A,C,E,,,,,F,059,F,B,,,,,,B,,,,2015,01,
6500000000,Z,H,,,,M,088,J,C,E,,,,,M,084,,A,,,,,,,,,,2015,01,6500300000
6400000000,C,C,,,,M,093,J,C,C,X,,,,M,057,Z,A,,,,,,B,,,,2015,01,
6500000000,C,G,,,,M,093,A,C,C,X,,,,F,000,,I,,,,,,,,,,2015,01,6500300000
6500000000,H,E,,,,M,095,A,C,C,X,,,,M,080,,I,,,,,,,,,,2015,01,6501700000
1001900000,C,C,,,,F,088,A,C,E,X,,,,M,059,Z,A,,X,,,,,,,,2015,01,6600200000
6300000000,F,F,,,,M,097,A,C,C,X,,,,M,000,,A,,X,,,,,,,,2015,01,6300600000
1001500000,F,F,,,,M,096,A,C,C,X,,,,M,000,,A,,,,,,,,,,2015,01,1001506000
1000300000,D,D,,,,F,090,A,C,D,,,,,,000,,A,,,,,,,,,,2015,01,1000309000
6500000000,D,D,,,,M,086,J,C,Z,,,,,M,040,G,A,,,,,,,,,,2015,01,6500300000
6500000000,D,D,,,,F,100,A,A,I,,,,,M,071,,A,,,,,,,B,AB,,2015,01,6500700000
1000300000,D,D,,,,F,088,A,C,D,,,,,F,061,,A,,,,,,B,,,,2015,01,1000301000
1000300000,D,D,,,,F,094,A,C,C,,,,,F,000,,B,,,,,,,D,,,2015,01,1000310000
1001900000,D,D,,,,F,100,A,A,I,,,,,M,067,Z,A,,,,,,,,,,2015,01,6601500000
1001900000,D,D,,,,M,098,A,A,I,,,,,F,074,E,B,,,,,,,,,,2015,01,6602300000
1001900000,D,D,,,,M,094,A,C,C,,,,,M,053,E,A,,,,,,Z,,,,2015,01,6601400000
1001900000,D,D,,,,M,094,M,C,C,,,,,M,066,E,B,,,,,,,,,,2015,01,6602800000
1001900000,D,D,,,,M,089,A,C,D,,,,,M,061,E,A,,,,,,KZ,,,,2015,01,6600700000
1001900000,D,D,,,,F,092,A,C,C,,,,,M,061,D,A,,,,,,Z,,,,2015,01,6600700000
6500000000,D,D,,,,M,091,A,C,D,,,,,M,000,,I,,,,,,,,,,2015,01,6501700000
6500000000,D,D,,,,F,103,A,A,I,,,,,M,069,D,A,,,,,,,,,,2015,01,6501100000
1001900000,D,D,,,,M,087,A,A,D,,,,,M,056,,A,,,,,,,,,,2015,01,6600800000
6500000000,D,D,,,,M,098,A,B,Z,,,,,M,066,F,A,,,,,,,,,,2015,01,6500100000
1001700000,D,D,,,,M,089,A,,Z,,,,,F,038,Z,I,,,,,,B,,,,2015,01,1001702000
1000300000,D,D,,,,M,097,Q,A,I,,,,,M,069,D,A,,,,,,,,,,2015,01,1000308000
6500000000,D,D,,,,F,087,A,,Z,,,,,M,055,Z,A,,,,,,,,,,2015,01,6501100000
1001900000,D,D,,,,F,088,A,C,D,,,,,M,059,E,A,,,,,,Z,,,,2015,01,6600800000
1001500000,D,D,,,,F,102,O,A,I,X,,,,M,066,E,A,,,,,,,,B,,2015,01,1001503000
1001700000,D,D,,,,M,100,A,A,I,,,,,F,072,,B,,,,,,,,,,2015,01,1001701000
1000300000,D,D,,,,M,089,A,C,D,,,,,F,068,E,B,,,,,,B,,,,2015,01,1000310000
6500000000,D,D,,,,M,086,A,C,E,,,,,M,056,D,A,,,,,,,D,,,2015,01,6501300000
6400000000,H,E,,,,M,087,A,C,E,,,,,M,064,D,A,,,,,,B,,,,2015,01,6400500000
6500000000,D,D,,,,F,094,A,C,C,,,,,F,068,E,B,,,,,,Z,,,,2015,01,6500600000
1001900000,D,D,,,,F,094,M,A,I,,,,,M,074,E,A,,,,,,B,,,,2015,01,6601800000
1001900000,D,D,,,,F,096,M,A,C,,,,,M,074,E,A,,,,,,B,,,,2015,01,6601800000
1001900000,D,D,,,,F,099,M,A,Z,,,,,M,074,E,A,,,,,,B,,,,2015,01,6601800000
1001900000,D,D,,,,F,101,M,A,I,,,,,M,074,E,A,,,,,,B,,,,2015,01,6601800000
1001900000,D,D,,,,F,101,A,A,I,,,,,M,076,E,A,,,,,,B,BD,,,2015,01,6601100000
1001900000,D,D,,,,F,101,A,A,I,,,,,M,072,E,B,,,,,,B,,,,2015,01,6600900000
1001900000,D,D,,,,F,103,A,A,I,,,,,M,072,E,B,,,,,,B,,,,2015,01,6600900000
1000700000,D,D,,,,M,086,A,C,E,,,,,F,059,G,B,,,,,,B,,,,2015,01,1000713000
6500000000,D,D,,,,M,090,A,C,D,,,,,M,060,E,A,,,,,,,AD,,,2015,01,6502100000
6500000000,D,D,,,,F,100,O,A,I,,,,,M,072,D,A,,,,,,,,,,2015,01,6501300000
1001300000,D,D,,,,M,088,A,C,E,,,,,M,065,D,A,,,,,,,,,,2015,01,1001319000
1000300000,D,D,,,,F,087,A,C,E,,,,,M,057,E,A,,,,,,,D,A,,2015,01,1000305000
1002100000,D,D,,,,F,103,A,A,I,,,,,M,077,E,A,,,,,,B,,,,2015,01,6700500000
1001500000,D,D,,,,M,090,L,C,D,L,,,,F,062,C,B,,,,,,B,,,,2015,01,1001504000
1000900000,D,D,,,,M,092,A,C,C,,,,,M,066,Z,A,,,,,,Z,,,,2015,01,1000907000
1000300000,D,D,,,,M,102,J,A,Z,,,,,M,067,F,B,,,,,,,B,,,2015,01,1000302000
6500000000,D,D,,,,F,090,A,C,D,,,,,M,057,G,A,,,,,,,,,,2015,01,6500300000
1001900000,D,D,,,,F,103,A,A,I,,,,,M,066,D,I,,,,,,,,,,2015,01,6602500000
1000700000,D,D,,,,F,092,A,C,C,,,,,M,058,Z,A,,,,,,,,,,2015,01,1000701000
1002100000,D,D,,,,F,089,A,C,D,,,,,M,067,D,A,,,,,,,,,,2015,01,6701300000
1002100000,D,D,,,,M,093,A,C,C,,,,,M,067,D,A,,,,,,,,,,2015,01,6701300000
1001800000,D,D,,,,M,095,A,C,C,,,,,M,069,D,A,,,,,,B,,,,2015,01,1001803000
1001800000,D,D,,,,M,094,A,C,C,,,,,M,069,D,A,,,,,,B,,,,2015,01,1001803000
6300000000,D,D,,,,F,086,A,C,F,,,,,M,055,Z,A,,,,,,,,,,2015,01,6301100000
1000300000,D,D,,,,F,093,A,C,D,,,,,M,460,G,A,,,,,,B,,,,2015,01,1000310000
6500000000,D,D,,,,F,092,A,C,C,,,,,M,062,,A,,,,,,,,,,2015,01,6500100000
6300000000,D,D,,,,M,086,A,C,E,,,,,F,050,Z,B,,,,,,B,,,,2015,01,6300100000
6500000000,D,D,,,,M,100,A,B,I,,,,,F,069,D,B,,,,,,,B,,,2015,01,6501400000
1002100000,D,D,,,,F,088,A,C,D,X,,,,F,061,E,B,,X,,,,B,,,,2015,01,6703400000
1001900000,D,D,,,,M,090,A,C,D,,,,,M,053,C,A,,,,,,Z,,,,2015,01,6601400000
6300000000,D,D,,,,M,089,A,C,D,,,,,M,052,,A,,,,,,,,,,2015,01,6300800000
6500000000,D,D,,,,M,098,A,A,I,,,,,M,071,D,A,,,,,,,,B,,2015,01,6501100000
1000500000,H,E,,,,F,100,J,A,I,X,,,,F,000,Z,B,,X,,,,B,,,,2015,01,1000504000
1000200000,H,I,,,,M,000,J,C,C,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
1000300000,F,F,,,,M,000,A,C,C,X,,,,F,000,,D,,,,,,,B,,,2015,01,1000302000
1000800000,H,I,,,,F,000,J,B,I,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
6500000000,F,F,,,,F,000,J,C,E,,,,,M,081,,I,,,,,,I,,,,2015,01,6500200000
1000300000,F,F,,,,M,000,A,C,C,X,,,,F,000,,D,,,,,,,B,,,2015,01,1000302000
1000300000,H,I,,,,M,089,A,C,D,X,,,,,,,A,,,,,,,,,,2015,01,
1000300000,H,I,,,,M,094,A,C,C,X,,,,M,053,Z,A,,X,,,,,,,,2015,01,
1001800000,H,I,,,,F,000,J,A,I,,,,,F,000,Z,B,,,,,,,,,,2015,01,
1001900000,H,I,,,,M,000,J,C,C,,,,,F,000,Z,B,,,,,,,,,,2015,01,
1001900000,H,I,,,,F,089,J,C,D,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
1001900000,H,I,,,,F,096,J,C,C,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
1001900000,H,I,,,,F,101,J,,Z,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,F,097,J,B,I,,,,,M,069,Z,A,,,,,,B,,,,2015,01,6501300000
6500000000,H,I,,,,M,098,J,B,I,,,,,M,069,Z,A,,,,,,B,,,,2015,01,6501300000
1000400000,H,I,,,,F,097,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2015,01,1000402000
1000400000,H,I,,,,M,102,J,A,Z,,,,,M,000,Z,A,,,,,,B,,,,2015,01,1000402000
1001900000,H,I,,,,F,101,J,,I,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
1001900000,H,I,,,,M,102,J,,Z,,,,,F,077,Z,B,,,,,,B,,,,2015,01,6602400000
1001900000,H,I,,,,F,088,J,C,E,,,,,M,059,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,M,000,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
1001500000,H,I,,,,M,099,X,A,Z,X,,,,F,077,Z,B,,,,,,,B,,,2015,01,1001505000
1001500000,H,I,,,,F,103,X,A,Z,X,,,,F,077,Z,B,,,,,,,B,,,2015,01,1001505000
1000300000,C,C,,,,M,100,A,A,Z,X,,,,F,064,,B,,,,,,,,,,2015,01,1000304000
1000300000,H,I,,,,F,086,J,C,E,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
6500000000,H,I,,,,F,095,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
1002000000,H,I,,,,F,091,A,C,D,,,,,M,063,Z,A,,,,,,B,,,,2015,01,1002001000
6500000000,H,I,,,,Z,089,K,C,D,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,M,091,J,C,D,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
1000300000,H,I,,,,F,095,J,C,C,,,,,M,068,Z,A,,,,,,,,,,2015,01,1000301000
1000300000,H,I,,,,F,093,J,C,C,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
1001000000,H,I,,,,F,091,J,C,D,,,,,M,089,D,I,,,,,,B,,,,2015,01,1001001000
1001900000,C,C,,,,M,100,A,A,I,,,,,M,065,E,I,,,,,,,A,,,2015,01,6600800000
1000700000,H,I,,,,M,091,J,C,D,,,,,F,040,Z,I,,,,,,,,,,2015,01,
6500000000,H,I,,,,F,086,J,C,E,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,F,089,J,C,D,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
1001900000,H,I,,,,F,000,J,C,E,,,,,F,000,Z,B,,,,,,B,,,,2015,01,
1001700000,H,I,,,,M,000,J,C,C,,,,,M,000,Z,A,,,,,,,,,,2015,01,
6500000000,H,I,,,,F,092,J,C,C,,,,,M,043,Z,A,,,,,,B,,,,2015,01,
1000300000,H,C,,,,F,000,A,C,C,X,,,,M,072,D,A,,X,,,,B,,,,2015,01,1000307000
1001000000,H,I,,,,F,000,J,,Z,,,,,M,061,Z,A,,,,,,B,,,,2015,01,
1001000000,H,I,,,,M,000,J,,Z,,,,,M,061,Z,A,,,,,,B,,,,2015,01,
6500000000,H,I,,,,F,095,J,C,C,,,,,M,064,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,F,095,J,C,C,,,,,M,064,Z,A,,,,,,B,A,,,2015,01,
6500000000,H,I,,,,F,099,J,B,I,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
1001800000,H,I,,,,F,000,J,C,C,D,,,,F,000,Z,B,,D,,,,E,,,,2015,01,
6500000000,H,I,,,,M,100,J,A,I,,,,,M,000,Z,A,,,,,,B,,,,2015,01,
6500000000,H,I,,,,F,000,J,B,I,,,,,M,000,Z,A,,,,,,B,A,,,2015,01,
