OWNERCITYCODE,RECEIVEYYYY,RECEIVEMM,GENDER,BDATE,RELATION,OTHERNOTFAMILYMEMBER,VIOLENCETYPE
6300000000,2019,09,F,089,G,,A
1001300000,2019,09,F,067,A,,B
1001300000,2019,09,F,065,A,,A
1001300000,2019,09,M,045,Z,,A
6300000000,2019,09,M,050,A,,
6300000000,2019,09,F,049,I,,
6300000000,2019,09,F,069,A,,AB
6300000000,2019,09,F,079,Z,,A
6300000000,2019,09,F,057,A,,
6300000000,2019,09,F,043,I,,
6300000000,2019,09,M,077,G,,
6300000000,2019,09,M,065,A,,
6300000000,2019,09,M,062,,,
6300000000,2019,09,F,057,C,,
6300000000,2019,09,F,079,Z,,
6300000000,2019,09,F,059,Z,,
6300000000,2019,09,M,041,,,
6300000000,2019,09,F,086,,,
6300000000,2019,09,F,050,,,
6300000000,2019,09,M,085,,,
6300000000,2019,09,F,073,A,,A
6400000000,2019,09,F,067,A,,
6400000000,2019,09,F,083,C,,A
6400000000,2019,09,M,086,C,,
6400000000,2019,09,M,032,I,,
6400000000,2019,09,F,081,A,,
6400000000,2019,09,F,061,B,,A
6400000000,2019,09,F,042,A,,
6400000000,2019,09,F,086,A,,
6400000000,2019,09,F,059,B,,
6400000000,2019,09,M,082,F,,
6300000000,2019,09,F,068,I,,
6400000000,2019,09,F,079,A,,
6400000000,2019,09,M,064,C,,
6300000000,2019,09,F,086,C,,
6300000000,2019,09,M,051,A,,
6400000000,2019,09,F,053,B,,
6400000000,2019,09,F,059,Z,,A
6400000000,2019,09,F,071,A,,AB
6400000000,2019,09,F,040,I,,A
6400000000,2019,09,F,089,C,,
6400000000,2019,09,F,090,G,,
6400000000,2019,09,M,057,Z,,
6400000000,2019,09,F,073,F,,ABC
6400000000,2019,09,M,078,A,,
6300000000,2019,09,F,053,A,,
6400000000,2019,09,M,063,F,,
6400000000,2019,09,F,076,A,,
1001300000,2019,09,F,047,Z,,A
6400000000,2019,09,F,073,A,,AB
1000200000,2019,09,M,052,I,,A
1000800000,2019,09,F,047,A,,
1000800000,2019,09,F,068,A,,A
6400000000,2019,09,F,043,A,,
1001000000,2019,09,F,061,A,,A
1000700000,2019,09,F,059,B,,
1001900000,2019,09,M,061,A,,A
6500000000,2019,09,F,036,A,,
1001700000,2019,09,F,049,,,
1001900000,2019,09,F,063,A,,AB
1000200000,2019,09,M,050,,,
1001700000,2019,09,F,069,Z,,A
1002100000,2019,09,M,048,C,,A
6500000000,2019,09,F,078,C,,ABF
1000500000,2019,09,F,060,D,,
1002100000,2019,09,F,073,A,,A
6500000000,2019,09,F,086,A,,A
1000800000,2019,09,F,087,A,,A
1001900000,2019,09,F,069,C,,A
1001300000,2019,09,F,074,A,,A
6400000000,2019,09,F,077,A,,A
6300000000,2019,09,F,085,G,,
1001900000,2019,09,F,,I,,A
6500000000,2019,09,F,045,,,
6500000000,2019,09,M,055,,,
1001900000,2019,09,F,068,A,,A
6400000000,2019,09,F,067,A,,BC
1001700000,2019,09,F,075,C,,A
1002100000,2019,09,F,048,I,,C
1001900000,2019,09,F,051,Z,,
6500000000,2019,09,F,068,D,,A
6500000000,2019,09,F,057,,,
6500000000,2019,09,M,080,Z,,
6300000000,2019,09,F,057,Z,,
1001900000,2019,09,M,075,Z,,A
6300000000,2019,09,F,059,Z,,A
6400000000,2019,09,F,082,A,,A
1000900000,2019,09,F,054,A,,
1001900000,2019,09,F,054,C,,
1002100000,2019,09,M,068,Z,,A
6300000000,2019,09,F,047,G,,AB
1001400000,2019,09,F,084,Z,,
6300000000,2019,09,F,045,A,,
6500000000,2019,09,F,076,A,,A
6500000000,2019,09,F,082,,,
1001400000,2019,09,M,061,A,,A
1000300000,2019,09,F,054,B,,
1001500000,2019,09,M,038,Z,,A
1001400000,2019,09,F,046,Z,,A
1001900000,2019,09,F,087,A,,A
1000900000,2019,09,F,056,,,
6500000000,2019,09,F,082,A,,BC
6500000000,2019,09,F,054,C,,
6500000000,2019,09,F,055,A,,AG
1000900000,2019,09,F,072,D,,
6500000000,2019,09,F,060,Z,,
6500000000,2019,09,F,,I,,C
6300000000,2019,09,F,080,A,,
6300000000,2019,09,M,086,Z,,BC
6300000000,2019,09,M,050,Z,,BC
6300000000,2019,09,F,055,Z,,BC
6300000000,2019,09,F,052,D,,
6300000000,2019,09,M,088,,,
6300000000,2019,09,M,033,,,
6300000000,2019,09,M,077,A,,
6300000000,2019,09,F,069,B,,BF
6300000000,2019,09,F,041,A,,A
6300000000,2019,09,F,066,A,,A
6300000000,2019,09,M,070,F,,
6300000000,2019,09,F,088,F,,
6300000000,2019,09,F,089,G,,AB
6300000000,2019,09,F,077,A,,
6300000000,2019,09,F,069,A,,
6300000000,2019,09,F,040,,,
6300000000,2019,09,F,032,I,,B
6300000000,2019,09,F,059,I,,B
6300000000,2019,09,M,046,I,,
6300000000,2019,09,F,060,I,,
6300000000,2019,09,F,044,I,,
6300000000,2019,09,F,027,,,
6300000000,2019,09,M,014,I,,A
6300000000,2019,09,F,074,G,,
6300000000,2019,09,F,069,Z,,
6300000000,2019,09,F,056,D,,
6300000000,2019,09,F,089,C,,A
6300000000,2019,09,F,044,A,,
6300000000,2019,09,M,078,,,
6300000000,2019,09,F,064,G,,
6300000000,2019,09,M,064,F,,
6300000000,2019,09,M,048,,,
6300000000,2019,09,F,082,,,A
6300000000,2019,09,F,089,C,,
6300000000,2019,09,F,071,A,,
6300000000,2019,09,F,058,A,,
6300000000,2019,09,F,030,I,,A
6300000000,2019,09,F,048,Z,,A
6300000000,2019,09,F,061,A,,
6300000000,2019,09,M,044,A,,A
6300000000,2019,09,F,056,A,,
6300000000,2019,09,F,053,A,,A
6300000000,2019,09,F,062,A,,
6300000000,2019,09,F,066,A,,AC
6300000000,2019,09,F,041,,,
6300000000,2019,09,M,064,Z,,
6300000000,2019,09,M,040,,,
6300000000,2019,09,M,072,Z,,
6300000000,2019,09,F,041,I,,
6300000000,2019,09,F,069,,,
