OWNERCITYCODE,RECEIVEYYYY,RECEIVEMM,GENDER,BDATE,RELATION,OTHERNOTFAMILYMEMBER,VIOLENCETYPE
6300000000,2021,05,F,090,G,,A
6300000000,2021,05,F,066,C,,AB
6300000000,2021,05,F,069,A,,
6400000000,2021,05,F,065,Z,,AE
6400000000,2021,05,F,077,C,,
6400000000,2021,05,F,037,A,,
6400000000,2021,05,F,073,A,,
6400000000,2021,05,F,080,A,,
6400000000,2021,05,F,066,A,,
6400000000,2021,05,F,082,B,,
6400000000,2021,05,F,072,Z,,BC
6400000000,2021,05,F,079,D,,
6400000000,2021,05,F,064,I,,
6400000000,2021,05,M,056,A,,
6400000000,2021,05,F,078,A,,
6400000000,2021,05,F,084,C,,
6400000000,2021,05,F,068,C,,
6400000000,2021,05,F,057,A,,
6400000000,2021,05,F,061,D,,
6400000000,2021,05,F,057,Z,,
6400000000,2021,05,F,062,C,,
6400000000,2021,05,M,092,G,,
6400000000,2021,05,M,076,C,,
6400000000,2021,05,M,090,C,,
6400000000,2021,05,F,081,C,,
6400000000,2021,05,M,049,C,,
6400000000,2021,05,F,045,C,,
6400000000,2021,05,M,067,Z,,
6400000000,2021,05,M,055,Z,,
6300000000,2021,05,F,086,D,,
6400000000,2021,05,F,071,A,,
6400000000,2021,05,M,070,A,,
6400000000,2021,05,F,048,I,,
6400000000,2021,05,M,076,G,,
6300000000,2021,05,F,046,Z,,A
6400000000,2021,05,F,071,Z,,
6400000000,2021,05,F,056,I,,
6400000000,2021,05,F,090,G,,
6400000000,2021,05,F,073,A,,A
6300000000,2021,05,F,048,A,,
6400000000,2021,05,F,072,C,,
6300000000,2021,05,F,087,Z,,
6300000000,2021,05,F,085,C,,
6300000000,2021,05,M,066,A,,
6400000000,2021,05,F,080,B,,
6400000000,2021,05,M,092,Z,,
6400000000,2021,05,F,078,D,,
6300000000,2021,05,M,077,F,,
6400000000,2021,05,M,068,A,,A
6400000000,2021,05,M,069,A,,A
6300000000,2021,05,M,070,B,,
1000300000,2021,05,F,070,C,,
1000300000,2021,05,F,072,A,,A
1000700000,2021,05,F,037,I,,BE
1000300000,2021,05,F,056,A,,
6400000000,2021,05,F,068,D,,
1000300000,2021,05,F,076,D,,
6300000000,2021,05,F,036,I,,A
6300000000,2021,05,F,082,F,,A
1000300000,2021,05,M,042,I,,
6400000000,2021,05,F,072,A,,
1000300000,2021,05,F,061,A,,B
6400000000,2021,05,F,023,I,,
1001700000,2021,05,F,086,A,,
1001700000,2021,05,M,084,F,,
1000300000,2021,05,M,044,B,,A
6400000000,2021,05,M,032,I,,A
1001900000,2021,05,F,062,A,,AE
1001900000,2021,05,F,092,F,,
1001900000,2021,05,M,060,I,,
1000300000,2021,05,M,055,I,,
1001900000,2021,05,F,080,C,,
1001900000,2021,05,F,085,D,,
1001900000,2021,05,F,063,A,,
1001300000,2021,05,M,027,Z,,
1001300000,2021,05,F,078,A,,AB
6400000000,2021,05,F,061,C,,AB
1000300000,2021,05,F,087,C,,A
1000300000,2021,05,F,064,A,,
1001900000,2021,05,F,080,Z,,
1001900000,2021,05,F,086,Z,,
6400000000,2021,05,F,073,B,,
1000300000,2021,05,M,056,I,,
1000300000,2021,05,F,074,A,,A
1001600000,2021,05,M,068,G,,
6300000000,2021,05,M,083,F,,A
1000300000,2021,05,F,045,A,,
1001400000,2021,05,F,035,Z,,A
1000300000,2021,05,M,087,F,,A
1000800000,2021,05,F,037,A,,
1000800000,2021,05,F,051,Z,,
6300000000,2021,05,M,074,A,,B
1002100000,2021,05,F,079,D,,
6500000000,2021,05,F,065,A,,A
1000300000,2021,05,F,074,C,,A
6300000000,2021,05,F,031,C,,
6400000000,2021,05,M,081,Z,,
1001900000,2021,05,F,,A,,A
1001900000,2021,05,M,070,A,,CD
1001900000,2021,05,F,078,F,,B
1001900000,2021,05,F,050,F,,
1001900000,2021,05,F,085,B,,
1001900000,2021,05,M,088,F,,
6400000000,2021,05,M,056,C,,
1001900000,2021,05,M,089,G,,A
1001900000,2021,05,M,074,Z,,A
6300000000,2021,05,F,036,I,,AB
1001900000,2021,05,F,071,Z,,A
1001900000,2021,05,F,078,C,,
1001900000,2021,05,M,065,Z,,
6300000000,2021,05,M,058,I,,A
1002100000,2021,05,M,026,I,,
6500000000,2021,05,F,,A,,C
6400000000,2021,05,M,071,G,,
1001900000,2021,05,F,064,B,,
6500000000,2021,05,F,083,Z,,C
1001900000,2021,05,M,039,Z,,
1000300000,2021,05,F,076,C,,A
1001900000,2021,05,F,071,A,,A
1001900000,2021,05,F,077,A,,ACD
1001900000,2021,05,M,067,A,,A
1001900000,2021,05,F,074,A,,AB
1001900000,2021,05,F,064,A,,
1000300000,2021,05,M,064,F,,
1000300000,2021,05,F,022,I,,
6300000000,2021,05,F,075,A,,A
6300000000,2021,05,F,047,A,,B
6300000000,2021,05,F,036,A,,AB
6300000000,2021,05,F,036,I,,AB
6300000000,2021,05,F,027,I,,AH
6300000000,2021,05,F,066,A,,
6300000000,2021,05,F,079,H,,
6300000000,2021,05,F,071,C,,
6300000000,2021,05,F,083,D,,
1000400000,2021,05,F,036,Z,,BCE
1000400000,2021,05,F,087,D,,
1001000000,2021,05,F,021,G,,A
1001000000,2021,05,F,075,A,,A
1001000000,2021,05,M,069,Z,,
1001000000,2021,05,F,064,A,,
1001000000,2021,05,F,057,A,,
1001800000,2021,05,F,088,C,,
1001900000,2021,05,F,064,A,,
1000800000,2021,05,F,075,A,,
1002000000,2021,05,F,084,C,,
1002100000,2021,05,F,054,A,,
6400000000,2021,05,F,075,A,,
6400000000,2021,05,M,070,C,,A
1002100000,2021,05,F,048,B,,
1000700000,2021,05,F,040,I,,
1000700000,2021,05,F,077,A,,A
1000700000,2021,05,F,051,I,,
1001400000,2021,05,F,067,A,,
1002100000,2021,05,M,046,Z,,
1001700000,2021,05,M,057,I,,
1000800000,2021,05,F,047,I,,BC
1001700000,2021,05,M,053,I,,
6500000000,2021,05,F,083,F,,
6500000000,2021,05,F,067,A,,
1000500000,2021,05,F,086,A,,
6500000000,2021,05,F,085,C,,AB
6500000000,2021,05,F,070,D,,
6500000000,2021,05,M,069,D,,
6500000000,2021,05,M,032,I,,
1000200000,2021,05,F,043,C,,
1001500000,2021,05,F,070,B,,
1000800000,2021,05,F,085,G,,
6500000000,2021,05,F,067,A,,A
6500000000,2021,05,F,040,I,,
6500000000,2021,05,F,072,A,,AG
1002100000,2021,05,F,058,F,,B
1000700000,2021,05,F,047,A,,
1000700000,2021,05,M,070,B,,
1000700000,2021,05,M,064,Z,,
1000700000,2021,05,F,066,I,,
1000700000,2021,05,M,086,G,,
6400000000,2021,05,F,077,A,,BE
1000700000,2021,05,F,092,F,,A
1001600000,2021,05,M,042,Z,,
1000300000,2021,05,F,076,D,,
6500000000,2021,05,F,068,Z,,
1000500000,2021,05,F,067,A,,
1001900000,2021,05,F,068,A,,A
6300000000,2021,05,M,027,I,,A
1001900000,2021,05,M,089,Z,,AB
1000200000,2021,05,F,070,I,,
1001900000,2021,05,M,063,F,,
1001900000,2021,05,M,039,I,,
1000900000,2021,05,F,080,A,,
6300000000,2021,05,F,057,A,,
1000500000,2021,05,F,070,A,,A
1001400000,2021,05,M,069,Z,,
1001700000,2021,05,M,076,C,,
1001700000,2021,05,F,083,C,,
1001700000,2021,05,F,082,D,,
1001700000,2021,05,M,070,C,,
1000300000,2021,05,F,073,Z,,A
1000300000,2021,05,M,082,A,,AB
1000300000,2021,05,M,068,D,,
1000900000,2021,05,M,062,A,,
1000300000,2021,05,M,077,A,,
1000900000,2021,05,F,075,D,,
6400000000,2021,05,M,066,A,,AB
1002100000,2021,05,F,073,A,,A
6400000000,2021,05,F,072,A,,
6400000000,2021,05,F,068,C,,
6500000000,2021,05,F,085,D,,
6500000000,2021,05,F,076,C,,
6400000000,2021,05,F,064,G,,
1002000000,2021,05,F,054,A,,
1002100000,2021,05,F,076,A,,
1000300000,2021,05,F,068,B,,
6300000000,2021,05,F,069,A,,
1002100000,2021,05,F,040,I,,
1001900000,2021,05,F,049,A,,
1001900000,2021,05,M,082,D,,
1001900000,2021,05,M,074,C,,AB
6500000000,2021,05,F,091,C,,
1002100000,2021,05,F,088,C,,
6500000000,2021,05,M,051,A,,
1002100000,2021,05,F,051,A,,
1002100000,2021,05,M,048,A,,
6500000000,2021,05,F,074,A,,
6400000000,2021,05,F,079,B,,A
6500000000,2021,05,F,064,Z,,A
6500000000,2021,05,F,063,A,,A
1000900000,2021,05,F,077,A,,
1001500000,2021,05,F,073,D,,A
1000300000,2021,05,F,065,Z,,A
6400000000,2021,05,F,066,C,,
6500000000,2021,05,M,050,D,,
6500000000,2021,05,F,,C,,AB
6500000000,2021,05,F,090,D,,
6400000000,2021,05,F,070,C,,
1000700000,2021,05,M,038,Z,,
1001800000,2021,05,F,067,A,,BCD
1000700000,2021,05,F,034,I,,
1001900000,2021,05,M,054,I,,
1000800000,2021,05,F,090,G,,A
6500000000,2021,05,F,059,A,,
1001900000,2021,05,F,072,A,,B
6400000000,2021,05,M,063,A,,
6400000000,2021,05,M,053,A,,
6300000000,2021,05,F,066,C,,A
1000300000,2021,05,F,086,C,,
6400000000,2021,05,M,070,D,,
1001900000,2021,05,F,065,C,,BC
6500000000,2021,05,F,069,A,,
1001900000,2021,05,F,042,B,,
1001900000,2021,05,M,031,B,,
6400000000,2021,05,F,078,B,,
1000200000,2021,05,F,040,A,,ABC
1000300000,2021,05,F,080,A,,AB
1000300000,2021,05,F,089,Z,,ABC
1000300000,2021,05,F,072,G,,A
6400000000,2021,05,M,057,A,,
1001800000,2021,05,F,091,C,,A
6400000000,2021,05,F,062,A,,
1001900000,2021,05,F,091,Z,,A
1001900000,2021,05,M,072,C,,A
6400000000,2021,05,F,064,A,,
6300000000,2021,05,F,035,I,,
1000700000,2021,05,F,050,G,,
6400000000,2021,05,F,060,A,,
1000700000,2021,05,F,073,Z,,A
1000700000,2021,05,M,082,Z,,A
6500000000,2021,05,F,065,C,,
1000300000,2021,05,M,052,Z,,
1000300000,2021,05,M,071,A,,C
6500000000,2021,05,F,033,I,,
1000700000,2021,05,M,068,Z,,
1001900000,2021,05,F,084,A,,
6400000000,2021,05,F,066,I,,
1000700000,2021,05,F,077,A,,
6500000000,2021,05,M,085,C,,A
1000800000,2021,05,F,084,C,,AB
6400000000,2021,05,M,058,I,,
1001300000,2021,05,F,058,A,,
1001300000,2021,05,F,072,A,,A
1000300000,2021,05,M,083,Z,,
6400000000,2021,05,F,082,F,,
1001300000,2021,05,F,068,I,,
6500000000,2021,05,M,060,Z,,
1001300000,2021,05,F,086,C,,
1000700000,2021,05,F,084,G,,
1000700000,2021,05,F,062,Z,,
6400000000,2021,05,M,071,Z,,A
1000800000,2021,05,F,070,Z,,A
6400000000,2021,05,F,064,F,,
1000200000,2021,05,F,035,A,,AB
6300000000,2021,05,F,073,G,,AB
6400000000,2021,05,F,055,Z,,
1001900000,2021,05,F,067,A,,
6400000000,2021,05,M,057,I,,
6400000000,2021,05,F,060,I,,
1000900000,2021,05,F,073,B,,A
1000300000,2021,05,F,075,I,,A
6300000000,2021,05,M,070,B,,
0902000000,2021,05,F,052,I,,A
1000800000,2021,05,F,055,A,,B
6300000000,2021,05,F,062,A,,AB
1002100000,2021,05,F,048,I,,
6400000000,2021,05,F,087,A,,A
1002100000,2021,05,F,049,I,,A
6400000000,2021,05,M,066,A,,A
6400000000,2021,05,M,057,Z,,A
1000800000,2021,05,M,065,F,,A
6400000000,2021,05,F,072,B,,A
6400000000,2021,05,F,068,Z,,A
6500000000,2021,05,M,062,Z,,
6400000000,2021,05,F,070,D,,
1002000000,2021,05,M,054,I,,AB
1001900000,2021,05,F,026,I,,A
6500000000,2021,05,F,064,Z,,
1000300000,2021,05,F,062,Z,,
1000300000,2021,05,M,074,Z,,
1000300000,2021,05,M,070,C,,
6300000000,2021,05,F,,Z,,B
6300000000,2021,05,F,028,I,,
1002100000,2021,05,F,082,A,,
1001000000,2021,05,F,075,A,,A
1001900000,2021,05,F,061,C,,
1001900000,2021,05,F,088,D,,
1001900000,2021,05,F,038,I,,
1001900000,2021,05,F,066,A,,
1001900000,2021,05,F,091,C,,
1001900000,2021,05,M,054,A,,
1001900000,2021,05,F,058,A,,A
1001900000,2021,05,M,078,C,,A
1000800000,2021,05,F,074,Z,,A
1001900000,2021,05,F,086,C,,A
1000500000,2021,05,M,058,A,,AB
1000200000,2021,05,F,067,B,,
6500000000,2021,05,M,,A,,A
6500000000,2021,05,F,,A,,A
1001400000,2021,05,M,083,F,,
1000300000,2021,05,F,083,D,,
6400000000,2021,05,F,053,F,,A
1001700000,2021,05,M,038,I,,
6400000000,2021,05,F,064,A,,
6400000000,2021,05,M,056,A,,F
6500000000,2021,05,M,073,A,,
6500000000,2021,05,M,091,C,,
6500000000,2021,05,F,043,A,,
6400000000,2021,05,F,064,I,,A
6400000000,2021,05,M,068,B,,
6500000000,2021,05,M,067,A,,AB
6500000000,2021,05,F,068,A,,B
6500000000,2021,05,F,055,A,,
6400000000,2021,05,F,044,Z,,
6500000000,2021,05,F,066,D,,A
6500000000,2021,05,F,075,A,,A
6500000000,2021,05,F,043,A,,A
6300000000,2021,05,F,045,I,,
1000700000,2021,05,F,066,D,,
6400000000,2021,05,F,089,C,,
6400000000,2021,05,M,084,C,,
6400000000,2021,05,F,090,A,,
1001700000,2021,05,F,035,I,,F
1000700000,2021,05,F,076,D,,
6400000000,2021,05,M,087,Z,,C
1001900000,2021,05,F,062,A,,B
1001900000,2021,05,F,047,A,,
6500000000,2021,05,F,073,G,,B
6500000000,2021,05,M,062,I,,
