OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,OCCUPATION,OTHEROCCUPATION,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,SCHOOL,DID,DSEXID,DBDATE,NUMOFSUSPECT,RELATION,OTHERRELATION,OCCURCITY,OCCURPLACE,OCCURTOWN,OTHEROCCURPLACE,LASTOCCURTIME,INFOTIMEYEAR,INFOTIMEMONTH,TOWNCODE
1001900000,H,C,,,,F,033,A,F,,Z,X,,,,,M,000,1,Q,,6600000000,A,6601700000,,106072900,2017,08,6601700000
6500000000,H,E,,,,F,089,A,G,,E,X,,,C,,M,073,1,L,,6500000000,D,6500500000,,106060000,2017,08,6500500000
1000300000,H,C,,,,F,089,A,D,,Z,X,,,,,M,000,1,I,,1000300000,A,1000308000,,000000000,2017,08,1000307000
1001700000,F,F,,,,F,089,A,G,,E,X,,,C,,M,082,1,M,,,B,,,000000000,2017,08,1001707000
1000300000,X,R,,,,M,077,A,,,Z,X,,,,,M,071,1,Y,,1000300000,1,1000307000,,106072900,2017,08,1000307000
1000500000,F,F,,,,F,096,A,G,,C,X,,,C,,M,089,1,D,,6600000000,B,6602800000,,000000000,2017,08,1000507000
6500000000,H,C,,,,F,075,A,Y,,Z,X,,,F,,,,3,Y,,,X,,,000000000,2017,08,6500400000
6300000000,H,C,,,,F,070,A,C,,E,,,,,,M,000,1,O,,6300000000,E,6300100000,,106073120,2017,08,6301000000
1001700000,F,F,,,,F,081,I,,,Z,,,,,,M,072,,J,,1001700000,V,1001701000,,000000000,2017,08,1001701000
1001500000,C,C,,,,F,031,A,I,,E,,,,,,M,031,1,J,,1001500000,A,1001503000,,106080111,2017,08,1001503000
6500000000,D,D,,,,M,103,A,,,Z,X,,,,,F,044,,C,,6500000000,B,6500300000,,105080000,2017,08,6500300000
6500000000,D,D,,,,F,060,A,C,,G,,,,,,M,060,,I,,6500000000,B,6501500000,,100073009,2017,08,6500200000
1001300000,D,D,,,,F,019,M,F,,B,X,,,,,M,067,1,C,,1001300000,A,1001326000,,000000000,2017,08,1001326000
1002100000,D,D,,,,F,084,A,Y,,G,X,,,C,,M,000,1,J,,6700000000,B,6700100000,,106070209,2017,08,6700200000
1000200000,F,F,,,,F,092,A,,,D,X,,,C,,M,092,,,,,,,,106020000,2017,08,1000205000
6500000000,F,F,,,,F,092,A,,,D,X,,,C,,M,091,,,,,,,,106080116,2017,08,6500600000
6500000000,F,F,,,,M,091,Q,,,D,X,,,C,,,,,,,,,,,106080116,2017,08,6500600000
6500000000,H,C,,,,F,079,A,H,,E,X,,,,,M,074,1,I,,6600000000,B,6600600000,,106073106,2017,08,6500600000
1000200000,H,C,,,,F,089,A,G,,Z,,,,,,,000,,H,,,B,,,000000000,2017,08,1000206000
1000200000,H,E,,,,F,086,A,G,,F,X,,,C,,M,089,1,D,,1000200000,A,1000210000,,106072900,2017,08,1000210000
1001900000,H,C,,,,F,091,A,G,,Z,,,,,,M,089,1,H,,6600000000,A,6600900000,,106073023,2017,08,6600900000
1001900000,H,C,,,,F,075,A,D,,G,X,,,F,,M,073,1,I,,6600000000,A,6600600000,,106080104,2017,08,6600900000
6300000000,H,C,,,,F,077,A,H,,E,,,,,,,000,1,R,,6300000000,K,6300400000,,106080103,2017,08,6300400000
1001900000,F,F,,,,F,092,J,G,,D,,,,,,M,090,3,,,,G,,,000000000,2017,08,6600900000
1001300000,H,C,,,,F,090,A,G,,E,X,,,C,,M,000,1,I,,1001300000,B,1001302000,,000000000,2017,08,1001301000
1000200000,H,C,,,,F,091,A,G,,E,X,,,C,,M,069,1,H,,1000200000,G,1000206000,,000000000,2017,08,1000205000
1001700000,F,F,,,,M,092,A,G,,D,X,,,,,,,5,J,,1001700000,A,1001705000,,106072700,2017,08,1001705000
