OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,OCCUPATION,OTHEROCCUPATION,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,SCHOOL,DID,DSEXID,DBDATE,NUMOFSUSPECT,RELATION,OTHERRELATION,OCCURCITY,OCCURPLACE,OCCURTOWN,OTHEROCCURPLACE,LASTOCCURTIME,INFOTIMEYEAR,INFOTIMEMONTH,TOWNCODE
6500000000,C,C,,,,F,064,A,D,,E,X,,,,,M,062,1,A,,6500000000,A,6500200000,,104011100,2015,01,6500200000
1000700000,D,D,,,,F,086,A,G,,E,X,,,C,,M,074,1,H,,1000700000,E,1000715000,,103070000,2015,01,1000711000
1001800000,D,D,,,,F,083,A,G,,G,X,,,C,,M,084,1,Y,,1001800000,A,1001801000,,104011206,2015,01,1001801000
1000800000,D,D,,,,F,075,C,D,,F,X,,,,,M,070,1,M,,1000800000,B,1000803000,,104011120,2015,01,1000803000
1001800000,D,D,,,,F,090,A,G,,D,,,,C,,,000,,Y,,1001800000,Z,1001801000,,103120723,2015,01,1001801000
6500000000,D,D,,,,F,087,A,G,,E,X,,,C,,M,043,1,F,,6500000000,D,6501200000,,103040100,2015,01,6500100000
1001500000,D,D,,,,F,093,O,G,,C,X,,,C,,M,076,1,Y,,1001500000,B,1001505000,,103101000,2015,01,1001505000
1000700000,F,F,,,,F,086,A,G,,E,X,,,C,,,,1,H,,1000700000,B,1000702000,,103110000,2015,01,1000707000
6500000000,F,F,,,,M,089,A,G,,D,X,,,C,,F,000,1,Q,,6500000000,A,6500900000,,000000000,2015,01,6500100000
1000300000,F,F,,,,M,086,A,,,E,X,,,C,,,,,,,,,,,103000000,2015,01,1000303000
6400000000,H,I,,,,F,088,A,G,,E,,,,C,,M,086,1,H,,6400000000,C,6400600000,,104011417,2015,01,6400900000
1000500000,J,J,,,,F,060,E,,,Z,,,,,,,000,,Y,,1000500000,A,1000513000,,104011623,2015,01,1000513000
1000200000,F,F,,,,F,087,A,G,,E,X,,,C,,M,086,1,I,,,G,,,000000000,2015,01,1000203000
1000200000,F,F,,,,M,086,Q,G,,E,X,,,C,,F,087,1,H,,,G,,,000000000,2015,01,1000210000
1001300000,H,E,,,,F,088,A,,,D,X,,,C,,M,074,1,H,,1001300000,E,1001315000,,103020000,2015,01,1001315000
1001400000,F,F,,,,F,090,L,G,,D,,,,C,,M,089,1,L,,1001400000,B,1001413000,,103122700,2015,01,1001413000
1000300000,F,F,,,,F,089,J,G,,D,,,,C,,,000,2,R,,,Q,,,104011214,2015,01,1000303000
1001400000,H,C,,,,F,090,J,G,,D,X,,,C,,,000,1,M,,1001400000,S,1001401000,,104011520,2015,01,1001401000
6400000000,H,E,,,,M,065,A,D,,E,X,,,F,,F,066,1,A,,6400000000,A,6401200000,,104011607,2015,01,
1000300000,F,F,,,,F,093,J,G,,Z,X,,,,,,056,1,C,,1000300000,A,1000307000,,000000000,2015,01,1000307000
