OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,OCCUPATION,OTHEROCCUPATION,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,SCHOOL,DID,DSEXID,DBDATE,NUMOFSUSPECT,RELATION,OTHERRELATION,OCCURCITY,OCCURPLACE,OCCURTOWN,OTHEROCCURPLACE,LASTOCCURTIME,INFOTIMEYEAR,INFOTIMEMONTH,TOWNCODE
1000200000,F,F,,,,M,093,A,G,,D,X,,,C,,M,094,,L,,1000200000,S,1000201000,,107030813,2018,03,1000201000
6500000000,H,E,,,,F,094,A,,,D,,,,,,M,000,,Y,,6500000000,A,6500500000,,103000000,2018,03,
6300000000,F,F,,,,F,091,A,G,,F,X,,,C,,,,1,D,,6300000000,A,6300600000,,000000000,2018,03,6300600000
1001500000,H,C,,,,F,102,A,X,,I,X,,,C,,M,102,1,L,,1001500000,S,1001505000,,106031415,2018,03,1001501000
1001800000,F,F,,,,F,086,A,G,,Z,,,,,,,,,R,,,Z,,,000000000,2018,03,
1001500000,H,C,,,,F,058,O,P,,D,X,,,,,M,000,1,I,,1001500000,A,1001505000,,107031514,2018,03,1001505000
6400000000,H,C,,,,F,000,A,G,,G,X,,,C,,M,052,1,C,,1000300000,A,1000302000,,000000000,2018,03,6400500000
6500000000,F,F,,,,M,093,A,G,,D,,,,C,,F,094,,L,,6500000000,S,6500200000,,107030516,2018,03,6500200000
6500000000,H,C,,,,F,078,A,G,,H,,,,C,,M,000,1,K,,6300000000,Z,6300300000,,106031616,2018,03,6500600000
1000300000,F,F,,,,F,095,A,G,,C,X,,,C,,,000,,M,,1000300000,G,1000312000,,000000000,2018,03,1000312000
6500000000,D,D,,,,F,095,A,G,,Z,X,,,C,,M,083,1,H,,6500000000,T,6500900000,,107030712,2018,03,6500900000
6300000000,D,D,,,,F,089,A,G,,E,X,,,,,M,000,1,L,,1002000000,E,1002001000,,106021402,2018,03,6300700000
1000300000,D,D,,,,F,094,A,G,,D,X,,,C,,M,093,,H,,1000300000,S,1000301000,,107031400,2018,03,1000301000
6500000000,D,D,,,,F,079,A,D,,H,X,,,,,M,064,1,K,,,M,,,107031500,2018,03,6500500000
1000300000,D,D,,,,F,093,A,G,,D,X,,,C,,M,066,1,P,,1000300000,O,1000301000,,106081920,2018,03,1000301000
6300000000,D,D,,,,F,085,A,G,,G,X,,,C,,M,061,1,R,,6300000000,P,6300300000,,107012721,2018,03,6300300000
1001300000,F,F,,,,F,099,P,,,Z,X,,,C,,,,,,,,,,,107031510,2018,03,1001327000
6300000000,D,D,,,,F,092,A,G,,Z,X,,,,,M,092,1,L,,6300000000,Y,,,107030000,2018,03,
6400000000,C,C,,,,F,000,A,X,,D,X,,,,,M,000,1,Y,,6400000000,E,,,107031704,2018,03,6400900000
1001300000,H,C,,,,F,096,A,G,,C,HL,,,C,,,000,1,R,,1001300000,B,,,000000000,2018,03,1001306000
1002000000,H,C,,,,F,093,L,G,,D,X,,,C,,M,087,1,H,,1000800000,B,1000805000,,107031117,2018,03,1002002000
0902000000,D,D,,,,F,102,A,G,,I,X,,,C,,M,031,1,F,,0902000000,B,0902003000,,107031517,2018,03,0902002000
6500000000,D,D,,,,F,078,J,G,,H,X,,,C,,,076,,Y,,6300000000,Z,6300200000,,107031616,2018,03,6500600000
6400000000,D,D,,,,F,086,M,D,,Z,X,,,,,M,000,1,N,,6400000000,E,,,107031704,2018,03,6400900000
6500000000,D,D,,,,F,090,A,G,,E,X,,,C,,F,088,1,B,,6500000000,J,,,107031708,2018,03,6501100000
1001900000,D,D,,,,F,092,A,,,Z,X,,,,,M,073,,M,,1000700000,B,1000702000,,107031617,2018,03,
6400000000,D,D,,,,F,079,A,H,,Z,M,,,,,M,073,,M,,6400000000,B,6400300000,,107031618,2018,03,6400500000
1001900000,D,D,,,,F,090,A,G,,E,X,,,C,,M,069,,M,,6500000000,B,6500500000,,107030300,2018,03,6600600000
1000300000,X,R,,,,M,078,A,B,,D,X,,,,,M,074,1,Y,,,1,,,107031600,2018,03,1000307000
1000500000,H,C,,,,F,061,A,H,,Z,X,,,,,M,000,1,M,,1000500000,B,1000506000,,107031700,2018,03,
1000300000,D,D,,,,F,091,A,G,,E,X,,,E,,M,000,1,Q,,1000300000,O,1000304000,,107031518,2018,03,1000304000
1001900000,D,D,,,,F,088,A,G,,E,X,,,C,,M,084,1,J,,6600000000,B,6602700000,,107031817,2018,03,6600800000
1000700000,D,D,,,,M,091,A,G,,E,X,,,C,,F,074,1,M,,1000700000,E,1000701000,,106111518,2018,03,1000701000
6500000000,D,D,,,,F,083,A,E,,G,X,,,F,,M,073,1,Y,,6500000000,A,6500500000,,107020900,2018,03,6500500000
1001900000,C,C,,,,F,088,A,G,,E,X,,,C,,M,000,1,Y,,6600000000,B,6602700000,,107031717,2018,03,6600800000
6500000000,F,F,,,,M,092,A,,,D,X,,,C,,,,1,M,,6500000000,T,6501400000,,107031016,2018,03,6501500000
6500000000,F,F,,,,F,094,A,G,,D,X,,,C,,M,093,1,I,,6500000000,A,6501300000,,000000000,2018,03,6501300000
6500000000,H,C,,,,F,091,A,G,,D,X,,,C,,M,000,1,L,,6500000000,S,6500300000,,106101100,2018,03,6500300000
1001800000,F,F,,,,F,087,A,G,,G,X,,,C,,M,058,1,C,,1001700000,A,1001701000,,000000000,2018,03,1001801000
6500000000,F,F,,,,M,094,A,G,,C,X,,,C,,M,094,1,L,,6500000000,S,6500600000,,107031612,2018,03,6500600000
6300000000,F,F,,,,F,092,J,G,,Z,,,,C,,M,092,1,I,,6300000000,S,6301000000,,107031418,2018,03,
6500000000,F,F,,,,M,094,A,G,,C,L,,,C,,M,094,1,L,,6500000000,S,6500600000,,107031612,2018,03,6500600000
1001500000,H,E,,,,F,094,A,G,,D,X,,,C,,M,000,,H,,1001500000,,,,000000000,2018,03,1001505000
6400000000,F,F,,,,F,093,J,G,,D,,,,C,,M,000,,L,,,X,,,000000000,2018,03,6401200000
6400000000,F,F,,,,M,092,A,G,,D,X,,,C,,,000,1,H,,6400000000,,,,000000000,2018,03,6401200000
6300000000,F,F,,,,M,089,A,G,,E,X,,,C,,M,000,1,P,,,R,,,000000000,2018,03,6300200000
1001900000,F,F,,,,F,092,A,G,,D,X,,,C,,M,089,,D,,6600000000,A,6602700000,,106020000,2018,03,6602700000
6300000000,H,I,,,,F,071,J,Y,,Z,,,,,,M,060,1,J,,6300000000,E,6300100000,,106030000,2018,03,6300100000
1000300000,F,F,,,,F,091,A,G,,D,X,,,C,,M,090,1,J,,1000300000,B,1000305000,,000000000,2018,03,1000306000
1000700000,F,F,,,,F,092,A,G,,D,X,,,C,,M,000,1,L,,1000700000,A,1000701000,,107031800,2018,03,1000701000
1000700000,H,C,,,,M,093,A,G,,D,X,,,C,,F,092,1,H,,1000700000,B,1000701000,,107031823,2018,03,1000701000
1000800000,F,F,,,,F,090,A,G,,F,X,,,C,,M,000,1,Q,,1000800000,B,1000801000,,095000000,2018,03,1000803000
1002100000,C,K,,,,F,091,A,G,,D,X,,,C,,M,089,1,I,,6700000000,B,6701200000,,107010000,2018,03,6701200000
1000300000,H,C,,,,F,090,A,D,,Z,X,,,,,M,000,1,H,,6500000000,B,,,107022500,2018,03,1000308000
1000300000,H,C,,,,F,089,A,G,,E,X,,,C,,M,080,1,H,,1000300000,B,1000302000,,107030000,2018,03,1000301000
1001900000,H,I,,,,F,093,A,G,,D,X,,,C,,M,085,4,H,,1000700000,B,,,107020000,2018,03,6600900000
6500000000,H,C,,,,F,094,A,G,,D,X,,,C,,,,1,M,,,B,,,107021400,2018,03,6501700000
6400000000,D,D,,,,F,091,A,G,,D,X,,,C,,M,090,1,H,,6400000000,B,6401100000,,107010100,2018,03,6400400000
6400000000,D,D,,,,F,100,A,G,,I,X,,,C,,M,074,1,Y,,6400000000,Z,6400400000,,106080100,2018,03,6400400000
6400000000,D,D,,,,F,100,A,G,,I,X,,,C,,M,074,1,Y,,6400000000,Z,6400400000,,106080100,2018,03,6400400000
6500000000,D,D,,,,M,097,J,G,,C,X,,,C,,M,096,,L,,6500000000,Z,6500300000,,000000000,2018,03,6500300000
1001300000,D,D,,,,M,096,A,G,,C,X,,,C,,M,068,1,C,,1001300000,A,1001301000,,107031700,2018,03,1001301000
6400000000,D,D,,,,F,085,A,G,,G,X,,,C,,M,082,1,Y,,6400000000,A,6400500000,,107012708,2018,03,6400500000
6500000000,H,H,,,,F,037,J,,,Z,X,,,,,,,,Y,,6500000000,X,,,000000000,2018,03,6500800000
1001800000,C,C,,,,F,079,A,D,,G,X,,,,,M,000,1,I,,,Z,,,107031219,2018,03,1001802000
6300000000,F,F,,,,F,092,I,,,D,X,,,C,,M,093,,,,,,,,107031917,2018,03,
1000300000,F,F,,,,F,094,A,,,D,X,,,C,,M,093,,I,,,J,,,106080000,2018,03,1000301000
1000700000,F,F,,,,F,093,A,G,,D,X,,,C,,M,000,1,H,,1000700000,B,1000723000,,000000000,2018,03,
1002100000,F,F,,,,M,091,A,G,,D,X,,,C,,F,092,1,H,,6700000000,A,6700200000,,000000000,2018,03,6700200000
1001900000,F,F,,,,F,089,A,,,Z,L,,,,,,000,,,,6600000000,,6602800000,,000000000,2018,03,6600600000
1002100000,F,F,,,,F,092,A,G,,D,X,,,C,,M,091,1,H,,6700000000,B,6700200000,,107030300,2018,03,6700200000
6400000000,H,E,,,,M,092,A,G,,D,X,,,C,,M,056,1,P,,6400000000,3,6403300000,,000000000,2018,03,6400500000
6500000000,C,K,,,,F,091,J,,,Z,X,,,,,,,,H,,,Y,,,000000000,2018,03,6501300000
6400000000,C,K,,,,F,091,A,Y,,E,X,,,E,,M,086,1,H,,6400000000,X,6401100000,,106120000,2018,03,6400900000
6500000000,D,D,,,,F,069,A,D,,E,X,,,,,,064,1,J,,1000300000,B,1000308000,,107032604,2018,03,6501300000
1000400000,D,D,,,,M,093,A,G,,D,L,,,C,,,000,1,L,,1000400000,S,1000402000,,107031213,2018,03,1000409000
1001500000,D,D,,,,F,096,L,G,,C,X,,,C,,M,059,1,C,,1001500000,B,1001513000,,107032521,2018,03,1001513000
6400000000,D,D,,,,Z,091,A,G,,E,X,,,C,,M,089,1,M,,6400000000,T,6400500000,,107030216,2018,03,6400500000
1000900000,D,D,,,,F,084,A,G,,G,L,,,C,,M,074,1,M,,1000900000,D,1000907000,,107032300,2018,03,1000907000
1001900000,D,D,,,,F,090,A,H,,F,X,,,E,,M,087,,I,,1001300000,B,1001301000,,106122922,2018,03,6600500000
6300000000,D,D,,,,F,086,A,G,,G,,,,C,,,,1,M,,6300000000,P,6300700000,,107032517,2018,03,6301100000
6500000000,H,H,,,,F,077,J,D,,G,X,,,,,,,1,J,,,G,,,000000000,2018,03,6500700000
6500000000,H,H,,,,F,069,A,C,,E,,,,F,,,000,1,Y,,6500000000,A,,,000000000,2018,03,6500500000
6500000000,F,F,,,,F,093,J,,,D,,,,C,,M,000,,,,,,,,107032400,2018,03,6500900000
6300000000,F,F,,,,F,092,A,G,,D,X,,,C,,M,091,,L,,6300000000,,6300200000,,107032118,2018,03,6300200000
6500000000,H,C,,,,F,081,A,D,,Z,X,,,,,,,1,J,,,E,,,107032605,2018,03,6500200000
1001800000,F,F,,,,M,094,A,G,,D,X,,,C,,F,094,,H,,1001800000,S,1001802000,,107032300,2018,03,1001802000
1002000000,H,E,,,,F,091,A,H,,D,X,,,F,,M,000,1,M,,6700000000,B,6700200000,,000000000,2018,03,
1000300000,H,C,,,,F,060,A,C,,E,X,,,,,M,000,,D,,1000300000,A,1000311000,,000000000,2018,03,1000311000
1000400000,X,R,,,,M,090,A,G,,E,X,,,C,,M,087,5,L,,1000400000,1,1000406000,,107022821,2018,03,
1002100000,F,F,,,,F,094,A,G,,D,X,,,C,,M,093,1,L,,6700000000,B,6702100000,,000000000,2018,03,6702100000
1000300000,H,E,,,,Z,088,A,H,,E,L,,,,,,,,,,,,,,000000000,2018,03,
1001900000,H,E,,,,F,095,A,G,,C,N,,,C,,,000,1,R,,6600000000,Z,6600300000,,107032717,2018,03,6600300000
1001400000,F,F,,,,F,092,S,G,,D,X,,,C,,M,091,1,H,,1001400000,A,1001401000,,000000000,2018,03,1001401000
1000800000,H,I,,,,F,087,J,G,,F,,,,C,,M,000,1,Y,,6700000000,Y,,,000000000,2018,03,
1001500000,F,F,,,,F,096,X,G,,C,X,,,C,,M,065,1,D,,1001500000,A,1001511000,,107032700,2018,03,1001511000
1000500000,F,F,,,,M,091,A,G,,E,X,,,C,,F,092,1,M,,1000500000,A,1000504000,,107021720,2018,03,1000504000
6500000000,H,E,,,,F,091,A,G,,E,X,,,C,,,,1,H,,6500000000,X,,,000000000,2018,03,6501200000
