OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,OCCUPATION,OTHEROCCUPATION,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,SCHOOL,DID,DSEXID,DBDATE,NUMOFSUSPECT,RELATION,OTHERRELATION,OCCURCITY,OCCURPLACE,OCCURTOWN,OTHEROCCURPLACE,LASTOCCURTIME,INFOTIMEYEAR,INFOTIMEMONTH,TOWNCODE
1000700000,F,F,,,,Z,087,J,G,,D,,,,C,,,,1,R,,1000700000,T,1000721000,,102123107,2014,01,1000721000
1001000000,H,E,,,,F,089,A,G,,D,X,,,C,,M,084,1,D,,1000300000,A,1000302000,,102080700,2014,01,1001004000
6300000000,H,I,,,,F,000,J,C,,Z,,,,,,M,000,1,N,,6300000000,H,6301100000,,103010100,2014,01,
6400000000,F,F,,,,Z,083,J,,,Z,,,,C,,M,073,1,L,,6400000000,S,6403500000,,102123114,2014,01,
1001900000,F,F,,,,F,088,A,G,,D,X,,,C,,M,000,1,Y,,6600000000,Y,,,102120100,2014,01,6602700000
1001800000,F,F,,,,M,086,A,G,,Z,,,,C,,,,,R,,1001800000,E,,,100100100,2014,01,1001802000
6500000000,H,C,,,,F,078,A,F,,Z,X,,,,,,000,1,F,,,,,,102121300,2014,01,6500500000
6400000000,F,F,,,,F,089,A,G,,D,X,,,C,,M,000,1,H,,6400000000,9,6401600000,,103010316,2014,01,6400400000
6500000000,F,F,,,,F,087,J,,,Z,,,,C,,M,086,1,I,,,G,,,102110000,2014,01,6500700000
1000200000,F,F,,,,F,084,A,G,,E,,,,C,,M,000,1,P,,,G,,,000000000,2014,01,
6500000000,H,E,,,,M,092,A,G,,C,,,,C,,M,072,1,Y,,6500000000,B,6500300000,,102120000,2014,01,6500200000
1001900000,H,C,,,,F,087,A,H,,E,X,,,E,,M,078,1,J,,6600000000,A,6600200000,,102110400,2014,01,6600200000
1000700000,F,F,,,,F,000,J,G,,Z,X,,,,,M,000,1,Y,,,Y,,,102080100,2014,01,
6500000000,F,F,,,,F,087,J,G,,E,,,,C,,,,1,G,,,B,,,102091800,2014,01,6500800000
1000400000,H,C,,,,F,084,A,G,,G,,,,C,,M,000,1,M,,1000400000,Z,1000402000,,102070000,2014,01,1000402000
6500000000,F,F,,,,F,086,J,G,,E,,,,C,,,,,,,,B,,,102112500,2014,01,6501300000
1000300000,D,D,,,,F,075,A,Y,,Z,X,,,,,M,036,,R,,1000300000,E,1000309000,,102122423,2014,01,1000309000
6300000000,D,D,,,,F,073,A,D,,E,X,,,F,,M,059,1,N,,6300000000,P,6300400000,,102120518,2014,01,
1000500000,D,D,,,,F,097,A,X,,I,X,,,,,M,093,1,Y,,1000500000,A,1000505000,,102080000,2014,01,1000505000
1000500000,D,D,,,,F,081,A,X,,D,X,,,F,,M,077,1,I,,1000500000,A,1000504000,,102122519,2014,01,1000505000
1001500000,D,D,,,,Z,083,A,G,,G,X,,,C,,,,1,J,,1001500000,B,1001506000,,102120801,2014,01,
6400000000,D,D,,,,F,089,O,G,,D,X,,,C,,M,000,1,J,,6400000000,F,6401100000,,102122701,2014,01,6401100000
1001900000,D,D,,,,F,090,A,G,,D,X,,,C,,M,058,1,Y,,,R,,,102112413,2014,01,
6300000000,D,D,,,,F,088,A,,,Z,,,,,,M,086,1,I,,6300000000,B,6300800000,,102070000,2014,01,6300800000
6500000000,D,D,,,,F,000,A,X,,E,X,,,,,M,083,1,F,,,Z,,,102121323,2014,01,6500500000
1001900000,D,D,,,,F,087,A,G,,E,X,,,C,,M,084,1,H,,6600000000,E,6600800000,,102121200,2014,01,6600800000
1001400000,D,D,,,,F,086,J,G,,E,X,,,C,,,,1,R,,1001400000,S,1001401000,,102121816,2014,01,1001401000
6500000000,C,C,,,,F,086,A,G,,E,X,,,,,,,1,H,,,X,,,000000000,2014,01,6500800000
6500000000,H,E,,,,F,087,A,Y,,Z,X,,,,,M,075,1,M,,6400000000,B,,,000000000,2014,01,6500700000
1001800000,F,F,,,,F,088,A,,,D,X,,,C,,M,080,,,,,,,,102122500,2014,01,1001801000
1001400000,F,F,,,,F,088,O,,,D,,,,C,,M,089,,,,,,,,103010100,2014,01,1001401000
1002000000,H,C,,,,F,086,A,,,E,X,,,C,,M,077,1,H,,1002000000,B,,,102120000,2014,01,1002001000
1001400000,C,C,,,,F,088,A,X,,D,X,,,D,,M,000,1,H,,1001400000,E,1001401000,,103010223,2014,01,
6500000000,H,I,,,,F,000,J,Y,,Z,,,,,,M,000,1,Q,,6500000000,A,6500300000,,102121600,2014,01,
1001400000,C,C,,,,F,088,O,G,,D,,,,C,,M,082,1,H,,1001400000,F,1001408000,,103010101,2014,01,1001408000
6500000000,H,C,,,,F,061,J,,,Z,E,,,,,,,,R,,,V,,,103010200,2014,01,6500100000
1002100000,H,I,,,,F,086,J,G,,E,,,,C,,M,000,1,H,,,X,,,102000000,2014,01,
6300000000,H,I,,,,M,000,J,G,,G,,,,C,,F,000,1,C,,,X,,,000000000,2014,01,
6300000000,H,C,,,,F,054,L,H,,Z,M,,,,,,000,1,A,,6300000000,A,6300300000,,102010406,2014,01,6300300000
1001800000,F,F,,,,F,088,A,G,,D,,,,C,,,,,,,1001800000,Z,1001802000,,102000000,2014,01,
1000700000,H,C,,,,F,088,A,G,,D,,,,C,,M,082,1,H,,1000700000,T,1000702000,,102090000,2014,01,1000701000
1000400000,D,D,,,,F,088,Q,G,,D,X,,,C,,,,1,H,,1000400000,A,1000402000,,102110000,2014,01,1000402000
6300000000,C,C,,,,F,073,A,X,,E,X,,,,,,000,3,R,,6300000000,X,6300400000,,103010401,2014,01,6300400000
6500000000,H,C,,,,F,083,A,G,,E,X,,,C,,,000,1,H,,,B,,,103010414,2014,01,6500100000
6300000000,Z,H,,,,F,087,A,G,,E,X,,,C,,M,087,1,J,,6300000000,A,6301100000,,102120715,2014,01,6301100000
1000300000,H,E,,,,F,084,O,Y,,D,X,,,F,,,000,1,D,,1000300000,A,1000303000,,101040000,2014,01,1000303000
1001900000,H,C,,,,F,087,A,G,,E,X,,,C,,M,081,1,H,,6600000000,B,6601500000,,103010323,2014,01,6601600000
1002100000,H,I,,,,F,077,A,D,,E,L,,,,,M,052,1,D,,6700000000,A,6700500000,,102123100,2014,01,
6400000000,C,C,,,,F,086,A,D,,E,X,,,E,,,000,1,M,,6400000000,E,,,103010502,2014,01,6400200000
6300000000,H,I,,,,F,000,J,Y,,Z,X,,,,,M,000,1,R,,6300000000,H,6301100000,,103010000,2014,01,
1001700000,D,D,,,,F,088,A,G,,D,X,,,C,,M,000,1,Y,,6500000000,,6501100000,,097000000,2014,01,1001703000
6400000000,D,D,,,,F,089,A,G,,D,X,,,C,,M,076,1,J,,6400000000,E,6400300000,,102120620,2014,01,6401700000
1001900000,D,D,,,,F,088,A,G,,D,X,,,C,,M,086,1,H,,6600000000,E,6600500000,,102122800,2014,01,6600100000
1000900000,C,C,,,,F,088,J,G,,D,,,,,,,000,1,H,,,A,,,103010500,2014,01,1000901000
6400000000,H,E,,,,F,091,A,G,,C,X,,,C,,M,091,1,D,,6400000000,A,6400100000,,000000000,2014,01,6400100000
1001900000,H,C,,,,F,085,A,G,,E,L,,,C,,,,1,H,,6600000000,B,,,103010300,2014,01,6600400000
1000500000,H,C,,,,F,088,A,G,,D,X,,,,,M,000,1,J,,1000500000,F,,,103010300,2014,01,1000507000
1000300000,F,F,,,,M,088,A,G,,D,L,,,C,,M,075,1,R,,1000300000,J,1000308000,,102100000,2014,01,1000308000
1000500000,H,C,,,,F,088,A,G,,E,X,,,C,,M,000,1,H,,1000500000,,1000503000,,103010300,2014,01,1000507000
6500000000,H,C,,,,F,080,A,G,,G,,,,C,,M,000,1,M,,6500000000,A,6501100000,,102120103,2014,01,6500500000
6500000000,F,F,,,,F,000,J,G,,E,,,,C,,M,085,1,,,6300000000,R,6301200000,,102123118,2014,01,
1001300000,C,C,,,,F,870,A,H,,D,,,,F,,M,073,1,G,,1001300000,B,1001313000,,103010100,2014,01,1001313000
6500000000,F,F,,,,F,086,A,G,,E,,,,C,,M,085,1,L,,6500000000,S,6500500000,,102122711,2014,01,6500500000
1001900000,H,I,,,,F,085,J,G,,E,,,,C,,M,060,1,C,,6600000000,A,6600700000,,098000000,2014,01,
6500000000,F,F,,,,F,086,J,G,,E,,,,C,,M,085,1,L,,6500000000,S,6500500000,,102122712,2014,01,6501700000
1001900000,H,I,,,,F,064,A,Y,,Z,M,,,,,M,000,1,Y,,6600000000,Z,6600800000,,103010600,2014,01,6600600000
1000300000,H,I,,,,F,092,J,G,,C,,,,C,,M,000,1,C,,1000300000,A,1000305000,,000000000,2014,01,
1000300000,H,Z,,,,Z,000,J,G,,E,X,,,C,,,,,M,,,,,,000000000,2014,01,
1000700000,F,F,,,,F,094,A,G,,C,,,,C,,,000,1,D,,1000700000,Q,1000704000,,000000000,2014,01,1000704000
1000400000,F,F,,,,M,087,Q,G,,Z,X,,,C,,,000,1,J,,1000400000,W,1000413000,,000000000,2014,01,
1000300000,H,I,,,,F,000,J,G,,F,X,,,C,,M,000,1,D,,,A,,,000000000,2014,01,
6500000000,F,F,,,,Z,088,A,G,,D,X,,,C,,M,000,1,C,,6500000000,A,6500800000,,102090000,2014,01,6500800000
6500000000,F,F,,,,M,091,A,G,,C,,,,C,,M,091,1,L,,6500000000,S,6501100000,,103010608,2014,01,6501100000
1000300000,H,C,,,,F,071,E,Y,,D,X,,,,,M,000,1,O,,1000300000,B,1000301000,,102060000,2014,01,1000302000
1001900000,H,C,,,,F,067,A,B,,E,X,,,,,M,064,1,I,,6600000000,E,6602100000,,103010517,2014,01,6602100000
6400000000,F,F,,,,F,092,A,G,,C,X,,,C,,,,1,Y,,,Y,,,000000000,2014,01,6401900000
1001900000,H,C,,,,F,055,A,D,,E,,,,,,M,056,1,F,,6600000000,B,6600500000,,103010512,2014,01,6600600000
1001300000,H,C,,,,F,089,A,G,,D,X,,,C,,M,000,1,H,,1001300000,B,1001331000,,103010415,2014,01,1001316000
1001900000,H,C,,,,F,080,A,D,,G,X,,,,,M,061,1,I,,6600000000,B,6602700000,,102112700,2014,01,6600300000
1001800000,F,F,,,,F,088,A,G,,D,X,,,C,,,,,N,,1001800000,Y,,,103010600,2014,01,
1000700000,H,C,,,,F,071,E,D,,C,,,,,,,000,1,O,,1000700000,B,,,103010414,2014,01,
6500000000,F,F,,,,F,085,A,G,,E,,,,C,,M,000,1,Y,,6500000000,A,6501300000,,103010503,2014,01,6501300000
1001000000,H,C,,,,F,097,A,G,,I,X,,,B,,,,1,Q,,1001000000,Z,1001002000,,102110000,2014,01,1001002000
6500000000,H,I,,,,F,088,J,G,,D,,,,C,,,000,2,L,,,X,,,102123000,2014,01,
1000200000,H,I,,,,F,058,J,Y,,Z,E,,,,,M,000,1,Y,,,Z,,,000000000,2014,01,
1001900000,H,I,,,,F,086,J,G,,E,,,,C,,M,000,1,J,,,E,,,102120000,2014,01,
1002100000,D,D,,,,F,071,A,D,,D,X,,,F,,,,,,,6700000000,E,6701900000,,103010202,2014,01,
1002100000,D,D,,,,F,080,A,H,,E,LN,,,F,,,,1,Q,,6700000000,B,6702000000,,102122700,2014,01,6702000000
6400000000,D,D,,,,F,089,A,G,,D,J,,,C,,M,083,1,M,,6400000000,B,6400200000,,103010417,2014,01,
6400000000,D,D,,,,F,086,A,G,,E,X,,,C,,,,1,R,,6400000000,Z,6400800000,,102121122,2014,01,6400800000
6500000000,D,D,,,,F,089,A,G,,D,X,,,C,,M,051,2,Y,,6500000000,A,6500500000,,102110000,2014,01,6500100000
1000700000,D,D,,,,F,071,E,X,,C,X,,,F,,M,032,1,O,,1000700000,B,1000705000,,103010414,2014,01,1000702000
6300000000,D,D,,,,F,081,A,D,,E,X,,,,,M,054,1,N,,6300000000,P,6300400000,,102122905,2014,01,6300400000
1000700000,D,D,,,,F,087,A,G,,D,,,,C,,M,079,1,Y,,1000700000,T,1000721000,,102123107,2014,01,1000721000
1001900000,D,D,,,,F,063,A,X,,E,X,,,,,M,045,1,I,,,E,,,102121401,2014,01,6602700000
