OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,OCCUPATION,OTHEROCCUPATION,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,SCHOOL,DID,DSEXID,DBDATE,NUMOFSUSPECT,RELATION,OTHERRELATION,OCCURCITY,OCCURPLACE,OCCURTOWN,OTHEROCCURPLACE,LASTOCCURTIME,INFOTIMEYEAR,INFOTIMEMONTH,TOWNCODE
1001900000,H,C,,,,F,063,A,D,,F,X,,,,,M,000,1,R,,6600000000,P,6600600000,,104123120,2016,01,6600500000
1000400000,H,I,,,,F,090,A,G,,D,X,,,C,,M,000,1,M,,1000400000,E,,,104120000,2016,01,1000406000
6400000000,H,E,,,,F,046,A,,,Z,X,,,,,M,046,1,A,,6400000000,A,6401100000,,104120000,2016,01,6401100000
1001700000,H,C,,,,F,091,A,G,,D,X,,,C,,M,000,1,H,,1001700000,B,1001707000,,104122218,2016,01,1001706000
1001900000,F,F,,,,M,000,J,,,C,,,,C,,,,1,R,,6600000000,S,6600500000,,104122500,2016,01,
6500000000,D,D,,,,F,073,A,X,,D,,,,,,M,068,1,J,,6500000000,B,6501600000,,104123001,2016,01,6501400000
6300000000,D,D,,,,F,039,A,H,,C,X,,,A,,M,074,1,R,,6300000000,Z,6300500000,,104121912,2016,01,6300500000
6500000000,D,D,,,,F,088,A,G,,E,X,,,C,,M,073,1,J,,6500000000,Z,6501300000,,104122317,2016,01,6501300000
6300000000,D,D,,,,F,086,A,G,,E,,,,C,,,,1,L,,6300000000,F,6301000000,,104123115,2016,01,6301000000
1001900000,D,D,,,,F,090,A,G,,D,X,,,C,,M,090,1,Y,,6600000000,Z,6600900000,,104062814,2016,01,6600900000
1001900000,D,D,,,,M,097,A,G,,C,,,,C,,,,1,R,,6600000000,Z,6600500000,,104122510,2016,01,6600500000
6300000000,D,D,,,,F,074,A,G,,H,D,,,C,,M,072,1,L,,1002000000,E,,,105010100,2016,01,6300500000
1002100000,H,C,,,,F,090,A,G,,D,X,,,C,,M,082,1,J,,6700000000,B,6701900000,,104121200,2016,01,6701100000
1000300000,C,C,,,,F,058,A,D,,G,X,,,,,M,000,1,O,,1000300000,E,1000310000,,104123116,2016,01,1000302000
1001400000,C,C,,,,F,085,A,D,,E,X,,,F,,M,054,1,Y,,1001400000,A,1001401000,,104123122,2016,01,1001401000
6500000000,H,C,,,,F,089,A,G,,D,,,,C,,M,000,1,H,,6500000000,A,6500700000,,104070617,2016,01,6500700000
6500000000,D,D,,,,F,089,A,G,,Z,X,,,,,M,081,1,H,,6500000000,E,6501300000,,104112123,2016,01,6501300000
1001900000,D,D,,,,M,090,A,G,,D,X,,,C,,M,083,1,Q,,6600000000,O,6600500000,,099081519,2016,01,6600500000
6500000000,D,D,,,,F,064,A,D,,E,X,,,F,,M,051,1,H,,6300000000,E,6300400000,,104121521,2016,01,6501700000
1000300000,D,D,,,,F,089,A,G,,D,X,,,C,,,,1,D,,1000300000,A,1000310000,,104122708,2016,01,1000310000
1001900000,D,D,,,,F,070,A,H,,D,Y,,,,,M,082,1,J,,6600000000,A,6600700000,,104122914,2016,01,6600700000
6300000000,H,I,,,,F,000,J,G,,C,,,,C,,M,000,1,D,,6300000000,A,6300600000,,105010210,2016,01,6300600000
1000300000,H,I,,,,F,079,A,Y,,Z,,,,,,M,000,1,Y,,,X,,,103100000,2016,01,1000302000
6500000000,H,C,,,,F,088,A,X,,E,X,,,E,,M,000,1,H,,6500000000,B,6500500000,,104091300,2016,01,6500500000
1000500000,H,I,,,,M,081,A,Y,,Z,,,,,,M,000,1,K,,1001500000,Z,1001507000,,104090000,2016,01,
6500000000,H,I,,,,F,000,J,G,,E,,,,C,,M,000,2,F,,1000300000,B,1000307000,,105010120,2016,01,
1001700000,D,D,,,,F,091,A,G,,D,,,,C,,M,090,2,Y,,1001700000,Z,1001702000,,104122715,2016,01,
6500000000,D,D,,,,F,090,A,G,,D,X,,,C,,M,086,1,Y,,6500000000,E,6500900000,,104050000,2016,01,6500900000
6500000000,D,D,,,,M,058,A,E,,G,X,,,,,M,081,1,R,,6500000000,Z,6501600000,,105010310,2016,01,6501600000
1001900000,D,D,,,,F,091,A,G,,D,X,,,C,,M,081,1,Y,,6600000000,B,6600600000,,104102600,2016,01,6600400000
1001900000,D,D,,,,F,081,A,G,,G,X,,,C,,M,080,1,Y,,6600000000,B,6600300000,,104110718,2016,01,6600300000
6400000000,D,D,,,,M,093,A,G,,C,X,,,C,,M,000,1,Y,,6400000000,Z,6400500000,,104123013,2016,01,6400500000
6300000000,D,D,,,,F,091,A,G,,D,X,,,C,,M,091,1,L,,6300000000,A,6301000000,,105010208,2016,01,6301000000
6400000000,D,D,,,,F,089,A,G,,E,X,,,C,,,000,,M,,6400000000,B,6400400000,,105010217,2016,01,6401400000
1001500000,H,I,,,,F,090,X,G,,D,X,,,C,,M,058,1,D,,1001500000,,,,104110000,2016,01,1001504000
0902000000,F,F,,,,F,086,A,G,,E,X,,,C,,M,086,1,H,,,,,,000000000,2016,01,0902001000
6300000000,F,F,,,,M,093,A,G,,C,X,,,C,,M,093,1,L,,6300000000,S,6300600000,,104123116,2016,01,6300600000
